1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 27000000337B0041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:21:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:41:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10785
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:41:01 PM,%RH,100.106
04/08/14 08:01:01 PM,%RH,101.512
04/08/14 08:21:01 PM,%RH,100.576
04/08/14 08:41:01 PM,%RH,101.977
04/08/14 09:01:01 PM,%RH,101.512
04/08/14 09:21:01 PM,%RH,101.512
04/08/14 09:41:01 PM,%RH,101.977
04/08/14 10:01:01 PM,%RH,101.977
04/08/14 10:21:01 PM,%RH,102.44
04/08/14 10:41:01 PM,%RH,101.512
04/08/14 11:01:01 PM,%RH,102.902
04/08/14 11:21:01 PM,%RH,101.977
04/08/14 11:41:01 PM,%RH,101.977
05/08/14 12:01:01 AM,%RH,101.977
05/08/14 12:21:01 AM,%RH,101.977
05/08/14 12:41:01 AM,%RH,101.977
05/08/14 01:01:01 AM,%RH,101.977
05/08/14 01:21:01 AM,%RH,101.977
05/08/14 01:41:01 AM,%RH,101.977
05/08/14 02:01:01 AM,%RH,101.977
05/08/14 02:21:01 AM,%RH,101.977
05/08/14 02:41:01 AM,%RH,101.977
05/08/14 03:01:01 AM,%RH,101.977
05/08/14 03:21:01 AM,%RH,102.902
05/08/14 03:41:01 AM,%RH,102.44
05/08/14 04:01:01 AM,%RH,101.977
05/08/14 04:21:01 AM,%RH,102.44
05/08/14 04:41:01 AM,%RH,102.902
05/08/14 05:01:01 AM,%RH,102.902
05/08/14 05:21:01 AM,%RH,101.512
05/08/14 05:41:01 AM,%RH,101.977
05/08/14 06:01:01 AM,%RH,101.512
05/08/14 06:21:01 AM,%RH,102.902
05/08/14 06:41:01 AM,%RH,102.902
05/08/14 07:01:01 AM,%RH,101.977
05/08/14 07:21:01 AM,%RH,101.045
05/08/14 07:41:01 AM,%RH,101.977
05/08/14 08:01:01 AM,%RH,101.512
05/08/14 08:21:01 AM,%RH,100.576
05/08/14 08:41:01 AM,%RH,100.106
05/08/14 09:01:01 AM,%RH,95.803
05/08/14 09:21:01 AM,%RH,67.21
05/08/14 09:41:01 AM,%RH,60.211
05/08/14 10:01:01 AM,%RH,59.617
05/08/14 10:21:01 AM,%RH,61.394
05/08/14 10:41:01 AM,%RH,58.424
05/08/14 11:01:01 AM,%RH,66.635
05/08/14 11:21:01 AM,%RH,63.74
05/08/14 11:41:01 AM,%RH,63.74
05/08/14 12:01:01 PM,%RH,69.491
05/08/14 12:21:01 PM,%RH,70.621
05/08/14 12:41:01 PM,%RH,61.982
05/08/14 01:01:01 PM,%RH,55.414
05/08/14 01:21:01 PM,%RH,63.155
05/08/14 01:41:01 PM,%RH,72.863
05/08/14 02:01:01 PM,%RH,73.974
05/08/14 02:21:01 PM,%RH,69.491
05/08/14 02:41:01 PM,%RH,65.482
05/08/14 03:01:01 PM,%RH,68.923
05/08/14 03:21:01 PM,%RH,68.923
05/08/14 03:41:01 PM,%RH,72.305
05/08/14 04:01:01 PM,%RH,75.629
05/08/14 04:21:01 PM,%RH,77.812
05/08/14 04:41:01 PM,%RH,81.038
05/08/14 05:01:01 PM,%RH,83.681
05/08/14 05:21:01 PM,%RH,85.248
05/08/14 05:41:01 PM,%RH,88.846
05/08/14 06:01:01 PM,%RH,92.364
05/08/14 06:21:01 PM,%RH,94.339
05/08/14 06:41:01 PM,%RH,94.828
05/08/14 07:01:01 PM,%RH,96.287
05/08/14 07:21:01 PM,%RH,96.287
05/08/14 07:41:01 PM,%RH,96.77
05/08/14 08:01:01 PM,%RH,95.316
05/08/14 08:21:01 PM,%RH,95.316
05/08/14 08:41:01 PM,%RH,97.732
05/08/14 09:01:01 PM,%RH,97.732
05/08/14 09:21:01 PM,%RH,97.732
05/08/14 09:41:01 PM,%RH,97.732
05/08/14 10:01:01 PM,%RH,98.21
05/08/14 10:21:01 PM,%RH,97.732
05/08/14 10:41:01 PM,%RH,98.21
05/08/14 11:01:01 PM,%RH,97.732
05/08/14 11:21:01 PM,%RH,97.732
05/08/14 11:41:01 PM,%RH,97.732
06/08/14 12:01:01 AM,%RH,98.21
06/08/14 12:21:01 AM,%RH,98.21
06/08/14 12:41:01 AM,%RH,100.106
06/08/14 01:01:01 AM,%RH,100.106
06/08/14 01:21:01 AM,%RH,99.635
06/08/14 01:41:01 AM,%RH,100.576
06/08/14 02:01:01 AM,%RH,100.106
06/08/14 02:21:01 AM,%RH,100.576
06/08/14 02:41:01 AM,%RH,100.106
06/08/14 03:01:01 AM,%RH,100.106
06/08/14 03:21:01 AM,%RH,100.576
06/08/14 03:41:01 AM,%RH,100.106
06/08/14 04:01:01 AM,%RH,101.045
06/08/14 04:21:01 AM,%RH,101.045
06/08/14 04:41:01 AM,%RH,101.045
06/08/14 05:01:01 AM,%RH,98.686
06/08/14 05:21:01 AM,%RH,100.106
06/08/14 05:41:01 AM,%RH,99.635
06/08/14 06:01:01 AM,%RH,100.106
06/08/14 06:21:01 AM,%RH,99.161
06/08/14 06:41:01 AM,%RH,99.635
06/08/14 07:01:01 AM,%RH,100.106
06/08/14 07:21:01 AM,%RH,100.576
06/08/14 07:41:01 AM,%RH,101.045
06/08/14 08:01:01 AM,%RH,102.44
06/08/14 08:21:01 AM,%RH,100.576
06/08/14 08:41:01 AM,%RH,100.576
06/08/14 09:01:01 AM,%RH,100.106
06/08/14 09:21:01 AM,%RH,100.106
06/08/14 09:41:01 AM,%RH,95.803
06/08/14 10:01:01 AM,%RH,90.866
06/08/14 10:21:01 AM,%RH,86.284
06/08/14 10:41:01 AM,%RH,64.322
06/08/14 11:01:01 AM,%RH,63.155
06/08/14 11:21:01 AM,%RH,55.414
06/08/14 11:41:01 AM,%RH,51.749
06/08/14 12:01:01 PM,%RH,57.225
06/08/14 12:21:01 PM,%RH,68.923
06/08/14 12:41:01 PM,%RH,77.812
06/08/14 01:01:01 PM,%RH,80.504
06/08/14 01:21:01 PM,%RH,80.504
06/08/14 01:41:01 PM,%RH,67.782
06/08/14 02:01:01 PM,%RH,72.305
06/08/14 02:21:01 PM,%RH,78.353
06/08/14 02:41:01 PM,%RH,75.629
06/08/14 03:01:01 PM,%RH,75.629
06/08/14 03:21:01 PM,%RH,73.974
06/08/14 03:41:01 PM,%RH,71.184
06/08/14 04:01:01 PM,%RH,79.432
06/08/14 04:21:01 PM,%RH,81.038
06/08/14 04:41:01 PM,%RH,84.205
06/08/14 05:01:01 PM,%RH,87.313
06/08/14 05:21:01 PM,%RH,89.353
06/08/14 05:41:01 PM,%RH,92.86
06/08/14 06:01:01 PM,%RH,94.828
06/08/14 06:21:01 PM,%RH,96.77
06/08/14 06:41:01 PM,%RH,97.732
06/08/14 07:01:01 PM,%RH,97.732
06/08/14 07:21:01 PM,%RH,98.21
06/08/14 07:41:01 PM,%RH,97.252
06/08/14 08:01:01 PM,%RH,97.732
06/08/14 08:21:01 PM,%RH,98.686
06/08/14 08:41:01 PM,%RH,98.21
06/08/14 09:01:01 PM,%RH,96.77
06/08/14 09:21:01 PM,%RH,98.686
06/08/14 09:41:01 PM,%RH,99.161
06/08/14 10:01:01 PM,%RH,98.686
06/08/14 10:21:01 PM,%RH,98.686
06/08/14 10:41:01 PM,%RH,100.576
06/08/14 11:01:01 PM,%RH,101.045
06/08/14 11:21:01 PM,%RH,100.106
06/08/14 11:41:01 PM,%RH,100.576
07/08/14 12:01:01 AM,%RH,100.576
