1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000033768D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:53:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10832
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:53:01 PM,%RH,101.316
04/08/14 08:13:01 PM,%RH,100.836
04/08/14 08:33:01 PM,%RH,100.836
04/08/14 08:53:01 PM,%RH,101.795
04/08/14 09:13:01 PM,%RH,101.316
04/08/14 09:33:01 PM,%RH,101.795
04/08/14 09:53:01 PM,%RH,101.316
04/08/14 10:13:01 PM,%RH,101.795
04/08/14 10:33:01 PM,%RH,102.748
04/08/14 10:53:01 PM,%RH,102.272
04/08/14 11:13:01 PM,%RH,102.272
04/08/14 11:33:01 PM,%RH,102.272
04/08/14 11:53:01 PM,%RH,102.272
05/08/14 12:13:01 AM,%RH,102.272
05/08/14 12:33:01 AM,%RH,101.795
05/08/14 12:53:01 AM,%RH,102.272
05/08/14 01:13:01 AM,%RH,102.748
05/08/14 01:33:01 AM,%RH,102.748
05/08/14 01:53:01 AM,%RH,102.748
05/08/14 02:13:01 AM,%RH,102.748
05/08/14 02:33:01 AM,%RH,102.748
05/08/14 02:53:01 AM,%RH,102.748
05/08/14 03:13:01 AM,%RH,101.795
05/08/14 03:33:01 AM,%RH,102.748
05/08/14 03:53:01 AM,%RH,102.748
05/08/14 04:13:01 AM,%RH,101.795
05/08/14 04:33:01 AM,%RH,102.748
05/08/14 04:53:01 AM,%RH,102.748
05/08/14 05:13:01 AM,%RH,101.795
05/08/14 05:33:01 AM,%RH,102.748
05/08/14 05:53:01 AM,%RH,102.272
05/08/14 06:13:01 AM,%RH,100.354
05/08/14 06:33:01 AM,%RH,101.795
05/08/14 06:53:01 AM,%RH,98.414
05/08/14 07:13:01 AM,%RH,96.45
05/08/14 07:33:01 AM,%RH,91.442
05/08/14 07:53:01 AM,%RH,87.851
05/08/14 08:13:01 AM,%RH,79.382
05/08/14 08:33:01 AM,%RH,69.982
05/08/14 08:53:01 AM,%RH,70.547
05/08/14 09:13:01 AM,%RH,68.849
05/08/14 09:33:01 AM,%RH,70.547
05/08/14 09:53:01 AM,%RH,73.903
05/08/14 10:13:01 AM,%RH,68.849
05/08/14 10:33:01 AM,%RH,69.982
05/08/14 10:53:01 AM,%RH,71.671
05/08/14 11:13:01 AM,%RH,73.903
05/08/14 11:33:01 AM,%RH,73.347
05/08/14 11:53:01 AM,%RH,63.099
05/08/14 12:13:01 PM,%RH,71.671
05/08/14 12:33:01 PM,%RH,77.207
05/08/14 12:53:01 PM,%RH,72.79
05/08/14 01:13:01 PM,%RH,62.516
05/08/14 01:33:01 PM,%RH,74.457
05/08/14 01:53:01 PM,%RH,79.382
05/08/14 02:13:01 PM,%RH,79.382
05/08/14 02:33:01 PM,%RH,80.998
05/08/14 02:53:01 PM,%RH,80.46
05/08/14 03:13:01 PM,%RH,82.068
05/08/14 03:33:01 PM,%RH,84.191
05/08/14 03:53:01 PM,%RH,83.132
05/08/14 04:13:01 PM,%RH,87.333
05/08/14 04:33:01 PM,%RH,90.423
05/08/14 04:53:01 PM,%RH,91.949
05/08/14 05:13:01 PM,%RH,91.949
05/08/14 05:33:01 PM,%RH,91.442
05/08/14 05:53:01 PM,%RH,92.455
05/08/14 06:13:01 PM,%RH,96.943
05/08/14 06:33:01 PM,%RH,96.45
05/08/14 06:53:01 PM,%RH,96.943
05/08/14 07:13:01 PM,%RH,98.414
05/08/14 07:33:01 PM,%RH,95.46
05/08/14 07:53:01 PM,%RH,94.464
05/08/14 08:13:01 PM,%RH,92.96
05/08/14 08:33:01 PM,%RH,94.963
05/08/14 08:53:01 PM,%RH,94.464
05/08/14 09:13:01 PM,%RH,93.964
05/08/14 09:33:01 PM,%RH,96.45
05/08/14 09:53:01 PM,%RH,94.464
05/08/14 10:13:01 PM,%RH,94.464
05/08/14 10:33:01 PM,%RH,95.956
05/08/14 10:53:01 PM,%RH,90.423
05/08/14 11:13:01 PM,%RH,93.463
05/08/14 11:33:01 PM,%RH,95.956
05/08/14 11:53:01 PM,%RH,94.963
06/08/14 12:13:01 AM,%RH,96.45
06/08/14 12:33:01 AM,%RH,97.435
06/08/14 12:53:01 AM,%RH,96.45
06/08/14 01:13:01 AM,%RH,97.435
06/08/14 01:33:01 AM,%RH,96.45
06/08/14 01:53:01 AM,%RH,96.45
06/08/14 02:13:01 AM,%RH,96.943
06/08/14 02:33:01 AM,%RH,97.435
06/08/14 02:53:01 AM,%RH,97.435
06/08/14 03:13:01 AM,%RH,96.943
06/08/14 03:33:01 AM,%RH,95.956
06/08/14 03:53:01 AM,%RH,95.956
06/08/14 04:13:01 AM,%RH,97.435
06/08/14 04:33:01 AM,%RH,96.943
06/08/14 04:53:01 AM,%RH,96.943
06/08/14 05:13:01 AM,%RH,97.435
06/08/14 05:33:01 AM,%RH,97.435
06/08/14 05:53:01 AM,%RH,95.46
06/08/14 06:13:01 AM,%RH,96.943
06/08/14 06:33:01 AM,%RH,98.414
06/08/14 06:53:01 AM,%RH,99.871
06/08/14 07:13:01 AM,%RH,100.354
06/08/14 07:33:01 AM,%RH,101.316
06/08/14 07:53:01 AM,%RH,100.836
06/08/14 08:13:01 AM,%RH,100.836
06/08/14 08:33:01 AM,%RH,102.272
06/08/14 08:53:01 AM,%RH,101.316
06/08/14 09:13:01 AM,%RH,100.836
06/08/14 09:33:01 AM,%RH,99.871
06/08/14 09:53:01 AM,%RH,97.925
06/08/14 10:13:01 AM,%RH,94.963
06/08/14 10:33:01 AM,%RH,92.96
06/08/14 10:53:01 AM,%RH,89.912
06/08/14 11:13:01 AM,%RH,81.533
06/08/14 11:33:01 AM,%RH,78.297
06/08/14 11:53:01 AM,%RH,78.84
06/08/14 12:13:01 PM,%RH,78.297
06/08/14 12:33:01 PM,%RH,81.533
06/08/14 12:53:01 PM,%RH,87.851
06/08/14 01:13:01 PM,%RH,88.884
06/08/14 01:33:01 PM,%RH,86.291
06/08/14 01:53:01 PM,%RH,77.753
06/08/14 02:13:01 PM,%RH,85.244
06/08/14 02:33:01 PM,%RH,84.718
06/08/14 02:53:01 PM,%RH,86.291
06/08/14 03:13:01 PM,%RH,88.369
