1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E000000337D0741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:45:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:45:01 CST 2014
Total Mission Samples:  3874
Total Device Samples:  10702
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:45:01 PM,%RH,102.011
04/08/14 09:05:01 PM,%RH,102.475
04/08/14 09:25:01 PM,%RH,103.399
04/08/14 09:45:01 PM,%RH,102.475
04/08/14 10:05:01 PM,%RH,102.938
04/08/14 10:25:01 PM,%RH,102.938
04/08/14 10:45:01 PM,%RH,102.475
04/08/14 11:05:01 PM,%RH,102.475
04/08/14 11:25:01 PM,%RH,102.938
04/08/14 11:45:01 PM,%RH,102.475
05/08/14 12:05:01 AM,%RH,102.475
05/08/14 12:25:01 AM,%RH,103.859
05/08/14 12:45:01 AM,%RH,103.399
05/08/14 01:05:01 AM,%RH,103.399
05/08/14 01:25:01 AM,%RH,103.859
05/08/14 01:45:01 AM,%RH,102.475
05/08/14 02:05:01 AM,%RH,103.399
05/08/14 02:25:01 AM,%RH,103.399
05/08/14 02:45:01 AM,%RH,103.399
05/08/14 03:05:01 AM,%RH,103.399
05/08/14 03:25:01 AM,%RH,102.938
05/08/14 03:45:01 AM,%RH,102.938
05/08/14 04:05:01 AM,%RH,102.938
05/08/14 04:25:01 AM,%RH,102.938
05/08/14 04:45:01 AM,%RH,102.475
05/08/14 05:05:01 AM,%RH,102.938
05/08/14 05:25:01 AM,%RH,102.938
05/08/14 05:45:01 AM,%RH,102.475
05/08/14 06:05:01 AM,%RH,102.475
05/08/14 06:25:01 AM,%RH,103.399
05/08/14 06:45:01 AM,%RH,102.938
05/08/14 07:05:01 AM,%RH,102.938
05/08/14 07:25:01 AM,%RH,103.399
05/08/14 07:45:01 AM,%RH,102.938
05/08/14 08:05:01 AM,%RH,102.938
05/08/14 08:25:01 AM,%RH,103.399
05/08/14 08:45:01 AM,%RH,102.011
05/08/14 09:05:01 AM,%RH,102.938
05/08/14 09:25:01 AM,%RH,102.011
05/08/14 09:45:01 AM,%RH,102.475
05/08/14 10:05:01 AM,%RH,102.011
05/08/14 10:25:01 AM,%RH,101.545
05/08/14 10:45:01 AM,%RH,101.545
05/08/14 11:05:01 AM,%RH,101.545
05/08/14 11:25:01 AM,%RH,101.077
05/08/14 11:45:01 AM,%RH,101.077
05/08/14 12:05:01 PM,%RH,101.077
05/08/14 12:25:01 PM,%RH,101.077
05/08/14 12:45:01 PM,%RH,101.077
05/08/14 01:05:01 PM,%RH,97.761
05/08/14 01:25:01 PM,%RH,99.192
05/08/14 01:45:01 PM,%RH,100.138
05/08/14 02:05:01 PM,%RH,99.665
05/08/14 02:25:01 PM,%RH,100.138
05/08/14 02:45:01 PM,%RH,99.665
05/08/14 03:05:01 PM,%RH,100.608
05/08/14 03:25:01 PM,%RH,100.608
05/08/14 03:45:01 PM,%RH,100.608
05/08/14 04:05:01 PM,%RH,100.608
05/08/14 04:25:01 PM,%RH,101.545
05/08/14 04:45:01 PM,%RH,101.545
05/08/14 05:05:01 PM,%RH,101.545
05/08/14 05:25:01 PM,%RH,101.545
05/08/14 05:45:01 PM,%RH,102.011
05/08/14 06:05:01 PM,%RH,101.545
05/08/14 06:25:01 PM,%RH,102.011
05/08/14 06:45:01 PM,%RH,101.545
05/08/14 07:05:01 PM,%RH,101.545
05/08/14 07:25:01 PM,%RH,101.545
05/08/14 07:45:01 PM,%RH,102.475
05/08/14 08:05:01 PM,%RH,102.011
05/08/14 08:25:01 PM,%RH,102.011
05/08/14 08:45:01 PM,%RH,102.938
05/08/14 09:05:01 PM,%RH,102.011
05/08/14 09:25:01 PM,%RH,102.475
05/08/14 09:45:01 PM,%RH,102.475
05/08/14 10:05:01 PM,%RH,102.011
05/08/14 10:25:01 PM,%RH,102.475
05/08/14 10:45:01 PM,%RH,102.475
05/08/14 11:05:01 PM,%RH,102.938
05/08/14 11:25:01 PM,%RH,102.938
05/08/14 11:45:01 PM,%RH,102.938
06/08/14 12:05:01 AM,%RH,102.938
06/08/14 12:25:01 AM,%RH,102.938
06/08/14 12:45:01 AM,%RH,102.475
06/08/14 01:05:01 AM,%RH,102.475
06/08/14 01:25:01 AM,%RH,103.859
06/08/14 01:45:01 AM,%RH,102.938
06/08/14 02:05:01 AM,%RH,101.545
06/08/14 02:25:01 AM,%RH,103.399
06/08/14 02:45:01 AM,%RH,103.399
06/08/14 03:05:01 AM,%RH,102.475
06/08/14 03:25:01 AM,%RH,102.475
06/08/14 03:45:01 AM,%RH,102.938
06/08/14 04:05:01 AM,%RH,102.938
06/08/14 04:25:01 AM,%RH,102.475
