1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0C000000337F9741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:24:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:44:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10742
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:44:01 PM,%RH,101.272
04/08/14 08:04:01 PM,%RH,100.793
04/08/14 08:24:01 PM,%RH,101.272
04/08/14 08:44:01 PM,%RH,100.793
04/08/14 09:04:01 PM,%RH,100.793
04/08/14 09:24:01 PM,%RH,101.75
04/08/14 09:44:01 PM,%RH,101.75
04/08/14 10:04:01 PM,%RH,101.75
04/08/14 10:24:01 PM,%RH,101.75
04/08/14 10:44:01 PM,%RH,101.75
04/08/14 11:04:01 PM,%RH,101.272
04/08/14 11:24:01 PM,%RH,102.226
04/08/14 11:44:01 PM,%RH,101.272
05/08/14 12:04:01 AM,%RH,102.226
05/08/14 12:24:01 AM,%RH,101.75
05/08/14 12:44:01 AM,%RH,102.226
05/08/14 01:04:01 AM,%RH,101.272
05/08/14 01:24:01 AM,%RH,101.75
05/08/14 01:44:01 AM,%RH,101.272
05/08/14 02:04:01 AM,%RH,101.272
05/08/14 02:24:01 AM,%RH,102.701
05/08/14 02:44:01 AM,%RH,102.226
05/08/14 03:04:01 AM,%RH,102.226
05/08/14 03:24:01 AM,%RH,102.226
05/08/14 03:44:01 AM,%RH,102.226
05/08/14 04:04:01 AM,%RH,102.226
05/08/14 04:24:01 AM,%RH,102.226
05/08/14 04:44:01 AM,%RH,103.175
05/08/14 05:04:01 AM,%RH,101.75
05/08/14 05:24:01 AM,%RH,102.701
05/08/14 05:44:01 AM,%RH,102.701
05/08/14 06:04:01 AM,%RH,101.272
05/08/14 06:24:01 AM,%RH,102.226
05/08/14 06:44:01 AM,%RH,101.75
05/08/14 07:04:01 AM,%RH,101.272
05/08/14 07:24:01 AM,%RH,99.83
05/08/14 07:44:01 AM,%RH,100.793
05/08/14 08:04:01 AM,%RH,99.83
05/08/14 08:24:01 AM,%RH,100.793
05/08/14 08:44:01 AM,%RH,98.374
05/08/14 09:04:01 AM,%RH,95.423
05/08/14 09:24:01 AM,%RH,95.919
05/08/14 09:44:01 AM,%RH,95.423
05/08/14 10:04:01 AM,%RH,74.949
05/08/14 10:24:01 AM,%RH,78.245
05/08/14 10:44:01 AM,%RH,71.6
05/08/14 11:04:01 AM,%RH,73.281
05/08/14 11:24:01 AM,%RH,77.152
05/08/14 11:44:01 AM,%RH,76.053
05/08/14 12:04:01 PM,%RH,77.152
05/08/14 12:24:01 PM,%RH,79.873
05/08/14 12:44:01 PM,%RH,71.6
05/08/14 01:04:01 PM,%RH,69.906
05/08/14 01:24:01 PM,%RH,72.722
05/08/14 01:44:01 PM,%RH,79.873
05/08/14 02:04:01 PM,%RH,80.412
05/08/14 02:24:01 PM,%RH,79.873
05/08/14 02:44:01 PM,%RH,76.053
05/08/14 03:04:01 PM,%RH,73.838
05/08/14 03:24:01 PM,%RH,71.6
05/08/14 03:44:01 PM,%RH,77.699
05/08/14 04:04:01 PM,%RH,79.873
05/08/14 04:24:01 PM,%RH,81.487
05/08/14 04:44:01 PM,%RH,85.203
05/08/14 05:04:01 PM,%RH,87.814
05/08/14 05:24:01 PM,%RH,90.387
