1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000003382F341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:40:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:00:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10769
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:00:01 PM,%RH,101.854
04/08/14 08:20:01 PM,%RH,102.335
04/08/14 08:40:01 PM,%RH,101.854
04/08/14 09:00:01 PM,%RH,102.335
04/08/14 09:20:01 PM,%RH,102.814
04/08/14 09:40:01 PM,%RH,102.335
04/08/14 10:00:01 PM,%RH,103.291
04/08/14 10:20:01 PM,%RH,102.814
04/08/14 10:40:01 PM,%RH,102.335
04/08/14 11:00:01 PM,%RH,103.291
04/08/14 11:20:01 PM,%RH,103.291
04/08/14 11:40:01 PM,%RH,103.291
05/08/14 12:00:01 AM,%RH,101.854
05/08/14 12:20:01 AM,%RH,103.767
05/08/14 12:40:01 AM,%RH,102.814
05/08/14 01:00:01 AM,%RH,102.814
05/08/14 01:20:01 AM,%RH,102.814
05/08/14 01:40:01 AM,%RH,103.291
05/08/14 02:00:01 AM,%RH,103.767
05/08/14 02:20:01 AM,%RH,102.814
05/08/14 02:40:01 AM,%RH,103.767
05/08/14 03:00:01 AM,%RH,103.291
05/08/14 03:20:01 AM,%RH,103.291
05/08/14 03:40:01 AM,%RH,103.291
05/08/14 04:00:01 AM,%RH,103.291
05/08/14 04:20:01 AM,%RH,103.767
05/08/14 04:40:01 AM,%RH,103.291
05/08/14 05:00:01 AM,%RH,103.767
05/08/14 05:20:01 AM,%RH,103.291
05/08/14 05:40:01 AM,%RH,103.291
05/08/14 06:00:01 AM,%RH,103.767
05/08/14 06:20:01 AM,%RH,103.767
05/08/14 06:40:01 AM,%RH,102.335
05/08/14 07:00:01 AM,%RH,102.814
05/08/14 07:20:01 AM,%RH,102.335
05/08/14 07:40:01 AM,%RH,102.335
05/08/14 08:00:01 AM,%RH,101.854
05/08/14 08:20:01 AM,%RH,101.854
05/08/14 08:40:01 AM,%RH,100.404
05/08/14 09:00:01 AM,%RH,99.917
05/08/14 09:20:01 AM,%RH,99.917
05/08/14 09:40:01 AM,%RH,92.447
05/08/14 10:00:01 AM,%RH,74.857
05/08/14 10:20:01 AM,%RH,65.757
05/08/14 10:40:01 AM,%RH,63.424
05/08/14 11:00:01 AM,%RH,67.492
05/08/14 11:20:01 AM,%RH,69.213
05/08/14 11:40:01 AM,%RH,63.424
05/08/14 12:00:01 PM,%RH,57.488
05/08/14 12:20:01 PM,%RH,64.593
05/08/14 12:40:01 PM,%RH,67.492
05/08/14 01:00:01 PM,%RH,55.679
05/08/14 01:20:01 PM,%RH,51.407
05/08/14 01:40:01 PM,%RH,71.488
05/08/14 02:00:01 PM,%RH,66.337
05/08/14 02:20:01 PM,%RH,62.248
05/08/14 02:40:01 PM,%RH,55.679
05/08/14 03:00:01 PM,%RH,48.934
05/08/14 03:20:01 PM,%RH,53.857
05/08/14 03:40:01 PM,%RH,50.174
05/08/14 04:00:01 PM,%RH,68.067
05/08/14 04:20:01 PM,%RH,80.897
05/08/14 04:40:01 PM,%RH,86.234
05/08/14 05:00:01 PM,%RH,89.884
05/08/14 05:20:01 PM,%RH,93.967
05/08/14 05:40:01 PM,%RH,94.974
05/08/14 06:00:01 PM,%RH,95.974
05/08/14 06:20:01 PM,%RH,98.45
05/08/14 06:40:01 PM,%RH,98.94
05/08/14 07:00:01 PM,%RH,99.43
05/08/14 07:20:01 PM,%RH,99.917
05/08/14 07:40:01 PM,%RH,99.917
05/08/14 08:00:01 PM,%RH,100.404
05/08/14 08:20:01 PM,%RH,100.889
05/08/14 08:40:01 PM,%RH,100.889
05/08/14 09:00:01 PM,%RH,100.889
05/08/14 09:20:01 PM,%RH,101.372
05/08/14 09:40:01 PM,%RH,101.854
05/08/14 10:00:01 PM,%RH,101.372
05/08/14 10:20:01 PM,%RH,100.889
05/08/14 10:40:01 PM,%RH,101.372
05/08/14 11:00:01 PM,%RH,101.372
05/08/14 11:20:01 PM,%RH,101.854
05/08/14 11:40:01 PM,%RH,101.854
06/08/14 12:00:01 AM,%RH,102.335
06/08/14 12:20:01 AM,%RH,102.814
06/08/14 12:40:01 AM,%RH,102.814
06/08/14 01:00:01 AM,%RH,102.814
06/08/14 01:20:01 AM,%RH,102.335
06/08/14 01:40:01 AM,%RH,102.335
06/08/14 02:00:01 AM,%RH,102.814
06/08/14 02:20:01 AM,%RH,102.814
06/08/14 02:40:01 AM,%RH,102.814
06/08/14 03:00:01 AM,%RH,102.814
06/08/14 03:20:01 AM,%RH,102.814
06/08/14 03:40:01 AM,%RH,102.814
06/08/14 04:00:01 AM,%RH,102.335
06/08/14 04:20:01 AM,%RH,102.814
06/08/14 04:40:01 AM,%RH,101.854
06/08/14 05:00:01 AM,%RH,102.335
06/08/14 05:20:01 AM,%RH,102.814
06/08/14 05:40:01 AM,%RH,101.372
06/08/14 06:00:01 AM,%RH,102.335
06/08/14 06:20:01 AM,%RH,101.854
06/08/14 06:40:01 AM,%RH,102.335
06/08/14 07:00:01 AM,%RH,101.854
06/08/14 07:20:01 AM,%RH,102.335
06/08/14 07:40:01 AM,%RH,101.854
06/08/14 08:00:01 AM,%RH,102.335
06/08/14 08:20:01 AM,%RH,101.372
06/08/14 08:40:01 AM,%RH,101.372
06/08/14 09:00:01 AM,%RH,101.854
06/08/14 09:20:01 AM,%RH,99.43
06/08/14 09:40:01 AM,%RH,94.974
06/08/14 10:00:01 AM,%RH,92.447
06/08/14 10:20:01 AM,%RH,80.355
06/08/14 10:40:01 AM,%RH,73.74
06/08/14 11:00:01 AM,%RH,63.424
06/08/14 11:20:01 AM,%RH,67.492
06/08/14 11:40:01 AM,%RH,53.247
06/08/14 12:00:01 PM,%RH,68.067
06/08/14 12:20:01 PM,%RH,72.053
06/08/14 12:40:01 PM,%RH,75.968
06/08/14 01:00:01 PM,%RH,78.721
06/08/14 01:20:01 PM,%RH,81.437
06/08/14 01:40:01 PM,%RH,74.299
06/08/14 02:00:01 PM,%RH,64.009
06/08/14 02:20:01 PM,%RH,77.624
06/08/14 02:40:01 PM,%RH,73.179
06/08/14 03:00:01 PM,%RH,74.857
06/08/14 03:20:01 PM,%RH,80.355
06/08/14 03:40:01 PM,%RH,78.173
06/08/14 04:00:01 PM,%RH,82.513
06/08/14 04:20:01 PM,%RH,82.513
06/08/14 04:40:01 PM,%RH,86.234
06/08/14 05:00:01 PM,%RH,90.913
06/08/14 05:20:01 PM,%RH,94.471
06/08/14 05:40:01 PM,%RH,95.474
06/08/14 06:00:01 PM,%RH,97.464
06/08/14 06:20:01 PM,%RH,99.43
06/08/14 06:40:01 PM,%RH,99.43
06/08/14 07:00:01 PM,%RH,98.94
06/08/14 07:20:01 PM,%RH,100.404
06/08/14 07:40:01 PM,%RH,100.404
06/08/14 08:00:01 PM,%RH,100.889
06/08/14 08:20:01 PM,%RH,100.404
06/08/14 08:40:01 PM,%RH,101.372
06/08/14 09:00:01 PM,%RH,101.372
06/08/14 09:20:01 PM,%RH,101.372
06/08/14 09:40:01 PM,%RH,101.372
06/08/14 10:00:01 PM,%RH,101.854
06/08/14 10:20:01 PM,%RH,101.854
06/08/14 10:40:01 PM,%RH,102.335
06/08/14 11:00:01 PM,%RH,101.854
06/08/14 11:20:01 PM,%RH,102.335
06/08/14 11:40:01 PM,%RH,102.335
07/08/14 12:00:01 AM,%RH,102.335
07/08/14 12:20:01 AM,%RH,101.854
07/08/14 12:40:01 AM,%RH,103.291
07/08/14 01:00:01 AM,%RH,102.335
07/08/14 01:20:01 AM,%RH,101.372
07/08/14 01:40:01 AM,%RH,103.291
07/08/14 02:00:01 AM,%RH,102.814
07/08/14 02:20:01 AM,%RH,102.814
07/08/14 02:40:01 AM,%RH,102.335
07/08/14 03:00:01 AM,%RH,102.814
07/08/14 03:20:01 AM,%RH,103.767
07/08/14 03:40:01 AM,%RH,102.814
07/08/14 04:00:01 AM,%RH,103.291
07/08/14 04:20:01 AM,%RH,103.767
07/08/14 04:40:01 AM,%RH,103.291
07/08/14 05:00:01 AM,%RH,103.291
07/08/14 05:20:01 AM,%RH,102.814
07/08/14 05:40:01 AM,%RH,103.291
07/08/14 06:00:01 AM,%RH,104.715
07/08/14 06:20:01 AM,%RH,102.335
07/08/14 06:40:01 AM,%RH,102.335
07/08/14 07:00:01 AM,%RH,101.854
07/08/14 07:20:01 AM,%RH,101.854
07/08/14 07:40:01 AM,%RH,101.854
07/08/14 08:00:01 AM,%RH,101.854
07/08/14 08:20:01 AM,%RH,99.917
07/08/14 08:40:01 AM,%RH,98.45
07/08/14 09:00:01 AM,%RH,91.426
07/08/14 09:20:01 AM,%RH,88.848
07/08/14 09:40:01 AM,%RH,86.234
07/08/14 10:00:01 AM,%RH,75.968
07/08/14 10:20:01 AM,%RH,70.922
07/08/14 10:40:01 AM,%RH,63.424
07/08/14 11:00:01 AM,%RH,64.009
07/08/14 11:20:01 AM,%RH,69.784
07/08/14 11:40:01 AM,%RH,65.757
07/08/14 12:00:01 PM,%RH,56.887
07/08/14 12:20:01 PM,%RH,64.593
07/08/14 12:40:01 PM,%RH,64.593
07/08/14 01:00:01 PM,%RH,64.593
07/08/14 01:20:01 PM,%RH,53.247
07/08/14 01:40:01 PM,%RH,57.488
07/08/14 02:00:01 PM,%RH,64.593
07/08/14 02:20:01 PM,%RH,66.915
07/08/14 02:40:01 PM,%RH,62.837
07/08/14 03:00:01 PM,%RH,59.88
07/08/14 03:20:01 PM,%RH,54.466
07/08/14 03:40:01 PM,%RH,55.073
07/08/14 04:00:01 PM,%RH,52.635
07/08/14 04:20:01 PM,%RH,53.247
07/08/14 04:40:01 PM,%RH,70.354
07/08/14 05:00:01 PM,%RH,85.707
07/08/14 05:20:01 PM,%RH,90.913
07/08/14 05:40:01 PM,%RH,91.937
07/08/14 06:00:01 PM,%RH,94.974
07/08/14 06:20:01 PM,%RH,98.94
07/08/14 06:40:01 PM,%RH,99.43
07/08/14 07:00:01 PM,%RH,99.917
07/08/14 07:20:01 PM,%RH,99.917
07/08/14 07:40:01 PM,%RH,100.404
07/08/14 08:00:01 PM,%RH,100.404
