1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9F00000033832941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:02:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:02:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10879
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:02:01 PM,%RH,101.65
04/08/14 08:22:01 PM,%RH,101.17
04/08/14 08:42:01 PM,%RH,101.17
04/08/14 09:02:01 PM,%RH,102.604
04/08/14 09:22:01 PM,%RH,102.128
04/08/14 09:42:01 PM,%RH,102.128
04/08/14 10:02:01 PM,%RH,102.128
04/08/14 10:22:01 PM,%RH,102.604
04/08/14 10:42:01 PM,%RH,102.128
04/08/14 11:02:01 PM,%RH,103.08
04/08/14 11:22:01 PM,%RH,103.08
04/08/14 11:42:01 PM,%RH,102.128
05/08/14 12:02:01 AM,%RH,102.604
05/08/14 12:22:01 AM,%RH,102.604
05/08/14 12:42:01 AM,%RH,102.128
05/08/14 01:02:01 AM,%RH,102.604
05/08/14 01:22:01 AM,%RH,101.17
05/08/14 01:42:01 AM,%RH,103.08
05/08/14 02:02:01 AM,%RH,102.604
05/08/14 02:22:01 AM,%RH,102.128
05/08/14 02:42:01 AM,%RH,102.604
05/08/14 03:02:01 AM,%RH,102.604
05/08/14 03:22:01 AM,%RH,102.604
05/08/14 03:42:01 AM,%RH,102.604
05/08/14 04:02:01 AM,%RH,102.604
05/08/14 04:22:01 AM,%RH,103.08
05/08/14 04:42:01 AM,%RH,102.604
05/08/14 05:02:01 AM,%RH,102.604
05/08/14 05:22:01 AM,%RH,102.604
05/08/14 05:42:01 AM,%RH,102.604
05/08/14 06:02:01 AM,%RH,102.604
05/08/14 06:22:01 AM,%RH,103.08
05/08/14 06:42:01 AM,%RH,101.65
05/08/14 07:02:01 AM,%RH,100.689
05/08/14 07:22:01 AM,%RH,84.496
05/08/14 07:42:01 AM,%RH,76.927
05/08/14 08:02:01 AM,%RH,75.822
05/08/14 08:22:01 AM,%RH,65.021
05/08/14 08:42:01 AM,%RH,70.204
05/08/14 09:02:01 AM,%RH,65.021
05/08/14 09:22:01 AM,%RH,64.437
05/08/14 09:42:01 AM,%RH,58.519
05/08/14 10:02:01 AM,%RH,57.919
05/08/14 10:22:01 AM,%RH,61.497
05/08/14 10:42:01 AM,%RH,57.919
05/08/14 11:02:01 AM,%RH,64.437
05/08/14 11:22:01 AM,%RH,62.088
05/08/14 11:42:01 AM,%RH,57.919
05/08/14 12:02:01 PM,%RH,61.497
05/08/14 12:22:01 PM,%RH,65.603
05/08/14 12:42:01 PM,%RH,62.088
05/08/14 01:02:01 PM,%RH,57.317
05/08/14 01:22:01 PM,%RH,66.762
05/08/14 01:42:01 PM,%RH,74.152
05/08/14 02:02:01 PM,%RH,70.773
05/08/14 02:22:01 PM,%RH,70.773
05/08/14 02:42:01 PM,%RH,68.49
05/08/14 03:02:01 PM,%RH,72.469
05/08/14 03:22:01 PM,%RH,73.032
05/08/14 03:42:01 PM,%RH,74.71
