1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 55000000337E8D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:56:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:56:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10701
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:56:01 PM,%RH,102.168
04/08/14 08:16:01 PM,%RH,101.188
04/08/14 08:36:01 PM,%RH,102.168
04/08/14 08:56:01 PM,%RH,100.695
04/08/14 09:16:01 PM,%RH,101.188
04/08/14 09:36:01 PM,%RH,101.678
04/08/14 09:56:01 PM,%RH,102.168
04/08/14 10:16:01 PM,%RH,102.168
04/08/14 10:36:01 PM,%RH,102.168
04/08/14 10:56:01 PM,%RH,102.656
04/08/14 11:16:01 PM,%RH,102.168
04/08/14 11:36:01 PM,%RH,102.168
04/08/14 11:56:01 PM,%RH,102.168
05/08/14 12:16:01 AM,%RH,103.142
05/08/14 12:36:01 AM,%RH,102.168
05/08/14 12:56:01 AM,%RH,101.678
05/08/14 01:16:01 AM,%RH,102.656
05/08/14 01:36:01 AM,%RH,102.656
05/08/14 01:56:01 AM,%RH,102.656
05/08/14 02:16:01 AM,%RH,102.168
05/08/14 02:36:01 AM,%RH,102.656
05/08/14 02:56:01 AM,%RH,102.656
05/08/14 03:16:01 AM,%RH,102.168
05/08/14 03:36:01 AM,%RH,102.656
05/08/14 03:56:01 AM,%RH,102.168
05/08/14 04:16:01 AM,%RH,103.142
05/08/14 04:36:01 AM,%RH,102.656
05/08/14 04:56:01 AM,%RH,103.142
05/08/14 05:16:01 AM,%RH,102.656
05/08/14 05:36:01 AM,%RH,102.656
05/08/14 05:56:01 AM,%RH,101.188
05/08/14 06:16:01 AM,%RH,94.159
05/08/14 06:36:01 AM,%RH,88.962
05/08/14 06:56:01 AM,%RH,88.435
05/08/14 07:16:01 AM,%RH,85.237
05/08/14 07:36:01 AM,%RH,67.286
05/08/14 07:56:01 AM,%RH,64.936
05/08/14 08:16:01 AM,%RH,61.965
05/08/14 08:36:01 AM,%RH,56.525
05/08/14 08:56:01 AM,%RH,57.744
05/08/14 09:16:01 AM,%RH,57.744
05/08/14 09:36:01 AM,%RH,68.452
05/08/14 09:56:01 AM,%RH,62.562
05/08/14 10:16:01 AM,%RH,63.752
05/08/14 10:36:01 AM,%RH,67.286
05/08/14 10:56:01 AM,%RH,66.701
05/08/14 11:16:01 AM,%RH,70.767
05/08/14 11:36:01 AM,%RH,64.345
05/08/14 11:56:01 AM,%RH,68.452
05/08/14 12:16:01 PM,%RH,74.194
05/08/14 12:36:01 PM,%RH,74.194
05/08/14 12:56:01 PM,%RH,66.114
05/08/14 01:16:01 PM,%RH,66.114
05/08/14 01:36:01 PM,%RH,76.45
05/08/14 01:56:01 PM,%RH,74.761
05/08/14 02:16:01 PM,%RH,74.194
05/08/14 02:36:01 PM,%RH,67.286
05/08/14 02:56:01 PM,%RH,65.526
05/08/14 03:16:01 PM,%RH,64.936
05/08/14 03:36:01 PM,%RH,69.033
05/08/14 03:56:01 PM,%RH,77.01
05/08/14 04:16:01 PM,%RH,81.439
05/08/14 04:36:01 PM,%RH,84.699
05/08/14 04:56:01 PM,%RH,86.842
05/08/14 05:16:01 PM,%RH,90.014
05/08/14 05:36:01 PM,%RH,90.537
05/08/14 05:56:01 PM,%RH,93.646
05/08/14 06:16:01 PM,%RH,96.703
05/08/14 06:36:01 PM,%RH,97.71
05/08/14 06:56:01 PM,%RH,97.207
05/08/14 07:16:01 PM,%RH,97.71
05/08/14 07:36:01 PM,%RH,94.671
05/08/14 07:56:01 PM,%RH,95.181
05/08/14 08:16:01 PM,%RH,96.197
05/08/14 08:36:01 PM,%RH,96.703
05/08/14 08:56:01 PM,%RH,98.211
05/08/14 09:16:01 PM,%RH,95.69
05/08/14 09:36:01 PM,%RH,96.197
05/08/14 09:56:01 PM,%RH,94.159
05/08/14 10:16:01 PM,%RH,94.671
05/08/14 10:36:01 PM,%RH,91.579
05/08/14 10:56:01 PM,%RH,88.435
05/08/14 11:16:01 PM,%RH,86.842
05/08/14 11:36:01 PM,%RH,87.375
05/08/14 11:56:01 PM,%RH,88.962
06/08/14 12:16:01 AM,%RH,90.537
06/08/14 12:36:01 AM,%RH,91.059
06/08/14 12:56:01 AM,%RH,91.579
06/08/14 01:16:01 AM,%RH,91.059
06/08/14 01:36:01 AM,%RH,91.059
06/08/14 01:56:01 AM,%RH,92.616
06/08/14 02:16:01 AM,%RH,94.159
06/08/14 02:36:01 AM,%RH,96.197
06/08/14 02:56:01 AM,%RH,97.207
06/08/14 03:16:01 AM,%RH,97.71
06/08/14 03:36:01 AM,%RH,99.706
06/08/14 03:56:01 AM,%RH,99.209
06/08/14 04:16:01 AM,%RH,97.71
06/08/14 04:36:01 AM,%RH,99.706
06/08/14 04:56:01 AM,%RH,98.211
06/08/14 05:16:01 AM,%RH,98.211
06/08/14 05:36:01 AM,%RH,98.711
06/08/14 05:56:01 AM,%RH,97.71
06/08/14 06:16:01 AM,%RH,98.711
06/08/14 06:36:01 AM,%RH,98.211
06/08/14 06:56:01 AM,%RH,99.706
06/08/14 07:16:01 AM,%RH,100.201
06/08/14 07:36:01 AM,%RH,101.188
06/08/14 07:56:01 AM,%RH,100.201
06/08/14 08:16:01 AM,%RH,100.201
06/08/14 08:36:01 AM,%RH,101.188
06/08/14 08:56:01 AM,%RH,100.201
06/08/14 09:16:01 AM,%RH,99.209
06/08/14 09:36:01 AM,%RH,94.159
06/08/14 09:56:01 AM,%RH,94.159
06/08/14 10:16:01 AM,%RH,89.489
06/08/14 10:36:01 AM,%RH,87.375
06/08/14 10:56:01 AM,%RH,80.341
06/08/14 11:16:01 AM,%RH,78.126
06/08/14 11:36:01 AM,%RH,67.286
06/08/14 11:56:01 AM,%RH,71.915
06/08/14 12:16:01 PM,%RH,77.569
06/08/14 12:36:01 PM,%RH,80.891
06/08/14 12:56:01 PM,%RH,84.699
06/08/14 01:16:01 PM,%RH,86.309
06/08/14 01:36:01 PM,%RH,79.789
06/08/14 01:56:01 PM,%RH,77.01
06/08/14 02:16:01 PM,%RH,86.309
06/08/14 02:36:01 PM,%RH,75.325
06/08/14 02:56:01 PM,%RH,79.236
06/08/14 03:16:01 PM,%RH,81.439
06/08/14 03:36:01 PM,%RH,84.699
06/08/14 03:56:01 PM,%RH,85.237
06/08/14 04:16:01 PM,%RH,85.774
06/08/14 04:36:01 PM,%RH,90.014
06/08/14 04:56:01 PM,%RH,93.132
06/08/14 05:16:01 PM,%RH,95.181
06/08/14 05:36:01 PM,%RH,95.69
06/08/14 05:56:01 PM,%RH,97.207
06/08/14 06:16:01 PM,%RH,99.209
06/08/14 06:36:01 PM,%RH,98.711
06/08/14 06:56:01 PM,%RH,99.706
06/08/14 07:16:01 PM,%RH,100.201
06/08/14 07:36:01 PM,%RH,101.188
06/08/14 07:56:01 PM,%RH,100.695
06/08/14 08:16:01 PM,%RH,99.706
06/08/14 08:36:01 PM,%RH,100.695
06/08/14 08:56:01 PM,%RH,101.188
06/08/14 09:16:01 PM,%RH,100.695
06/08/14 09:36:01 PM,%RH,100.695
06/08/14 09:56:01 PM,%RH,100.201
06/08/14 10:16:01 PM,%RH,101.188
06/08/14 10:36:01 PM,%RH,101.188
06/08/14 10:56:01 PM,%RH,101.678
06/08/14 11:16:01 PM,%RH,101.188
06/08/14 11:36:01 PM,%RH,102.168
06/08/14 11:56:01 PM,%RH,101.188
07/08/14 12:16:01 AM,%RH,101.188
07/08/14 12:36:01 AM,%RH,101.188
07/08/14 12:56:01 AM,%RH,101.188
07/08/14 01:16:01 AM,%RH,101.188
07/08/14 01:36:01 AM,%RH,101.188
07/08/14 01:56:01 AM,%RH,101.678
07/08/14 02:16:01 AM,%RH,101.678
07/08/14 02:36:01 AM,%RH,100.695
07/08/14 02:56:01 AM,%RH,101.188
07/08/14 03:16:01 AM,%RH,101.678
07/08/14 03:36:01 AM,%RH,101.678
07/08/14 03:56:01 AM,%RH,102.656
07/08/14 04:16:01 AM,%RH,102.168
07/08/14 04:36:01 AM,%RH,101.678
07/08/14 04:56:01 AM,%RH,101.678
07/08/14 05:16:01 AM,%RH,101.678
07/08/14 05:36:01 AM,%RH,101.678
07/08/14 05:56:01 AM,%RH,101.188
07/08/14 06:16:01 AM,%RH,100.695
07/08/14 06:36:01 AM,%RH,100.201
07/08/14 06:56:01 AM,%RH,99.209
07/08/14 07:16:01 AM,%RH,97.207
07/08/14 07:36:01 AM,%RH,93.132
07/08/14 07:56:01 AM,%RH,89.489
07/08/14 08:16:01 AM,%RH,80.891
07/08/14 08:36:01 AM,%RH,60.165
07/08/14 08:56:01 AM,%RH,62.562
07/08/14 09:16:01 AM,%RH,76.45
07/08/14 09:36:01 AM,%RH,73.058
07/08/14 09:56:01 AM,%RH,68.452
07/08/14 10:16:01 AM,%RH,67.87
07/08/14 10:36:01 AM,%RH,69.033
07/08/14 10:56:01 AM,%RH,70.767
07/08/14 11:16:01 AM,%RH,72.487
07/08/14 11:36:01 AM,%RH,69.033
07/08/14 11:56:01 AM,%RH,69.612
07/08/14 12:16:01 PM,%RH,73.058
07/08/14 12:36:01 PM,%RH,71.915
07/08/14 12:56:01 PM,%RH,69.033
07/08/14 01:16:01 PM,%RH,60.165
07/08/14 01:36:01 PM,%RH,61.367
07/08/14 01:56:01 PM,%RH,71.342
07/08/14 02:16:01 PM,%RH,67.87
07/08/14 02:36:01 PM,%RH,63.158
07/08/14 02:56:01 PM,%RH,70.19
07/08/14 03:16:01 PM,%RH,69.033
07/08/14 03:36:01 PM,%RH,69.033
07/08/14 03:56:01 PM,%RH,66.701
07/08/14 04:16:01 PM,%RH,71.915
07/08/14 04:36:01 PM,%RH,74.194
07/08/14 04:56:01 PM,%RH,81.986
07/08/14 05:16:01 PM,%RH,87.375
07/08/14 05:36:01 PM,%RH,91.059
07/08/14 05:56:01 PM,%RH,95.69
07/08/14 06:16:01 PM,%RH,97.207
07/08/14 06:36:01 PM,%RH,99.209
07/08/14 06:56:01 PM,%RH,99.209
