1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 23000000337E5B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:44:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:04:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10881
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:04:01 PM,%RH,102.129
04/08/14 08:24:01 PM,%RH,101.649
04/08/14 08:44:01 PM,%RH,101.168
04/08/14 09:04:01 PM,%RH,101.649
04/08/14 09:24:01 PM,%RH,101.649
04/08/14 09:44:01 PM,%RH,101.649
04/08/14 10:04:01 PM,%RH,101.168
04/08/14 10:24:01 PM,%RH,103.559
04/08/14 10:44:01 PM,%RH,101.168
04/08/14 11:04:01 PM,%RH,102.129
04/08/14 11:24:01 PM,%RH,102.129
04/08/14 11:44:01 PM,%RH,102.129
05/08/14 12:04:01 AM,%RH,102.129
05/08/14 12:24:01 AM,%RH,102.129
05/08/14 12:44:01 AM,%RH,102.129
05/08/14 01:04:01 AM,%RH,102.129
05/08/14 01:24:01 AM,%RH,101.649
05/08/14 01:44:01 AM,%RH,101.649
05/08/14 02:04:01 AM,%RH,101.649
05/08/14 02:24:01 AM,%RH,102.129
05/08/14 02:44:01 AM,%RH,102.607
05/08/14 03:04:01 AM,%RH,102.607
05/08/14 03:24:01 AM,%RH,102.129
05/08/14 03:44:01 AM,%RH,102.129
05/08/14 04:04:01 AM,%RH,102.129
05/08/14 04:24:01 AM,%RH,102.129
05/08/14 04:44:01 AM,%RH,102.607
05/08/14 05:04:01 AM,%RH,102.129
05/08/14 05:24:01 AM,%RH,102.607
05/08/14 05:44:01 AM,%RH,103.083
05/08/14 06:04:01 AM,%RH,102.129
05/08/14 06:24:01 AM,%RH,100.685
05/08/14 06:44:01 AM,%RH,100.685
05/08/14 07:04:01 AM,%RH,100.685
05/08/14 07:24:01 AM,%RH,92.249
05/08/14 07:44:01 AM,%RH,93.264
05/08/14 08:04:01 AM,%RH,96.273
05/08/14 08:24:01 AM,%RH,93.769
05/08/14 08:44:01 AM,%RH,91.739
05/08/14 09:04:01 AM,%RH,73.511
05/08/14 09:24:01 AM,%RH,68.395
05/08/14 09:44:01 AM,%RH,63.744
05/08/14 10:04:01 AM,%RH,67.241
05/08/14 10:24:01 AM,%RH,72.384
05/08/14 10:44:01 AM,%RH,72.384
05/08/14 11:04:01 AM,%RH,72.948
05/08/14 11:24:01 AM,%RH,75.746
05/08/14 11:44:01 AM,%RH,76.854
05/08/14 12:04:01 PM,%RH,79.053
05/08/14 12:24:01 PM,%RH,79.053
05/08/14 12:44:01 PM,%RH,71.252
05/08/14 01:04:01 PM,%RH,70.684
05/08/14 01:24:01 PM,%RH,67.819
05/08/14 01:44:01 PM,%RH,75.746
05/08/14 02:04:01 PM,%RH,78.505
05/08/14 02:24:01 PM,%RH,77.956
05/08/14 02:44:01 PM,%RH,72.948
05/08/14 03:04:01 PM,%RH,78.505
05/08/14 03:24:01 PM,%RH,70.114
05/08/14 03:44:01 PM,%RH,75.746
05/08/14 04:04:01 PM,%RH,78.505
05/08/14 04:24:01 PM,%RH,81.767
05/08/14 04:44:01 PM,%RH,82.842
05/08/14 05:04:01 PM,%RH,88.649
05/08/14 05:24:01 PM,%RH,90.715
05/08/14 05:44:01 PM,%RH,94.273
05/08/14 06:04:01 PM,%RH,96.769
05/08/14 06:24:01 PM,%RH,97.264
05/08/14 06:44:01 PM,%RH,98.739
05/08/14 07:04:01 PM,%RH,98.739
05/08/14 07:24:01 PM,%RH,99.715
05/08/14 07:44:01 PM,%RH,99.715
05/08/14 08:04:01 PM,%RH,100.201
05/08/14 08:24:01 PM,%RH,99.228
05/08/14 08:44:01 PM,%RH,99.228
05/08/14 09:04:01 PM,%RH,98.739
05/08/14 09:24:01 PM,%RH,101.168
05/08/14 09:44:01 PM,%RH,99.715
05/08/14 10:04:01 PM,%RH,100.201
05/08/14 10:24:01 PM,%RH,100.201
05/08/14 10:44:01 PM,%RH,99.715
05/08/14 11:04:01 PM,%RH,99.715
05/08/14 11:24:01 PM,%RH,99.715
05/08/14 11:44:01 PM,%RH,100.685
06/08/14 12:04:01 AM,%RH,100.201
06/08/14 12:24:01 AM,%RH,100.201
06/08/14 12:44:01 AM,%RH,100.201
06/08/14 01:04:01 AM,%RH,100.685
06/08/14 01:24:01 AM,%RH,100.685
06/08/14 01:44:01 AM,%RH,100.685
06/08/14 02:04:01 AM,%RH,101.168
06/08/14 02:24:01 AM,%RH,101.168
06/08/14 02:44:01 AM,%RH,101.168
06/08/14 03:04:01 AM,%RH,101.649
06/08/14 03:24:01 AM,%RH,101.168
06/08/14 03:44:01 AM,%RH,100.685
06/08/14 04:04:01 AM,%RH,101.168
06/08/14 04:24:01 AM,%RH,101.649
06/08/14 04:44:01 AM,%RH,102.129
06/08/14 05:04:01 AM,%RH,101.168
06/08/14 05:24:01 AM,%RH,101.649
06/08/14 05:44:01 AM,%RH,101.168
06/08/14 06:04:01 AM,%RH,101.649
06/08/14 06:24:01 AM,%RH,101.649
06/08/14 06:44:01 AM,%RH,101.649
06/08/14 07:04:01 AM,%RH,102.607
06/08/14 07:24:01 AM,%RH,101.649
06/08/14 07:44:01 AM,%RH,101.649
06/08/14 08:04:01 AM,%RH,101.649
06/08/14 08:24:01 AM,%RH,101.168
06/08/14 08:44:01 AM,%RH,101.168
06/08/14 09:04:01 AM,%RH,100.201
06/08/14 09:24:01 AM,%RH,100.685
06/08/14 09:44:01 AM,%RH,95.775
06/08/14 10:04:01 AM,%RH,90.715
06/08/14 10:24:01 AM,%RH,87.083
06/08/14 10:44:01 AM,%RH,83.378
06/08/14 11:04:01 AM,%RH,84.444
06/08/14 11:24:01 AM,%RH,76.301
06/08/14 11:44:01 AM,%RH,67.819
06/08/14 12:04:01 PM,%RH,70.114
06/08/14 12:24:01 PM,%RH,77.406
06/08/14 12:44:01 PM,%RH,82.842
06/08/14 01:04:01 PM,%RH,87.083
06/08/14 01:24:01 PM,%RH,88.649
06/08/14 01:44:01 PM,%RH,80.143
06/08/14 02:04:01 PM,%RH,81.227
06/08/14 02:24:01 PM,%RH,86.032
06/08/14 02:44:01 PM,%RH,81.767
06/08/14 03:04:01 PM,%RH,83.378
06/08/14 03:24:01 PM,%RH,79.053
06/08/14 03:44:01 PM,%RH,79.053
06/08/14 04:04:01 PM,%RH,82.306
06/08/14 04:24:01 PM,%RH,84.444
06/08/14 04:44:01 PM,%RH,89.168
06/08/14 05:04:01 PM,%RH,92.249
06/08/14 05:24:01 PM,%RH,94.273
06/08/14 05:44:01 PM,%RH,96.769
06/08/14 06:04:01 PM,%RH,97.757
06/08/14 06:24:01 PM,%RH,99.228
06/08/14 06:44:01 PM,%RH,98.739
