1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6700000033823B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:08:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:48:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10671
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:48:01 PM,C,18.139
04/08/14 09:08:01 PM,C,17.701
04/08/14 09:28:01 PM,C,17.451
04/08/14 09:48:01 PM,C,17.2
04/08/14 10:08:01 PM,C,17.2
04/08/14 10:28:01 PM,C,17.075
04/08/14 10:48:01 PM,C,17.075
04/08/14 11:08:01 PM,C,16.887
04/08/14 11:28:01 PM,C,16.887
04/08/14 11:48:01 PM,C,16.699
05/08/14 12:08:01 AM,C,16.574
05/08/14 12:28:01 AM,C,16.574
05/08/14 12:48:01 AM,C,16.825
05/08/14 01:08:01 AM,C,16.762
05/08/14 01:28:01 AM,C,16.762
05/08/14 01:48:01 AM,C,16.762
05/08/14 02:08:01 AM,C,16.699
05/08/14 02:28:01 AM,C,16.637
05/08/14 02:48:01 AM,C,16.574
05/08/14 03:08:01 AM,C,16.512
05/08/14 03:28:01 AM,C,16.637
05/08/14 03:48:01 AM,C,16.637
05/08/14 04:08:01 AM,C,16.386
05/08/14 04:28:01 AM,C,16.386
05/08/14 04:48:01 AM,C,16.449
05/08/14 05:08:01 AM,C,16.449
05/08/14 05:28:01 AM,C,16.324
05/08/14 05:48:01 AM,C,16.261
05/08/14 06:08:01 AM,C,17.075
05/08/14 06:28:01 AM,C,18.64
05/08/14 06:48:01 AM,C,19.078
05/08/14 07:08:01 AM,C,19.203
05/08/14 07:28:01 AM,C,19.954
05/08/14 07:48:01 AM,C,20.955
05/08/14 08:08:01 AM,C,21.393
05/08/14 08:28:01 AM,C,21.58
05/08/14 08:48:01 AM,C,21.706
05/08/14 09:08:01 AM,C,22.581
05/08/14 09:28:01 AM,C,24.519
05/08/14 09:48:01 AM,C,24.707
05/08/14 10:08:01 AM,C,24.644
05/08/14 10:28:01 AM,C,24.957
05/08/14 10:48:01 AM,C,24.957
05/08/14 11:08:01 AM,C,24.769
05/08/14 11:28:01 AM,C,25.082
05/08/14 11:48:01 AM,C,25.457
05/08/14 12:08:01 PM,C,25.207
05/08/14 12:28:01 PM,C,24.769
05/08/14 12:48:01 PM,C,26.457
05/08/14 01:08:01 PM,C,27.019
05/08/14 01:28:01 PM,C,25.082
05/08/14 01:48:01 PM,C,23.957
05/08/14 02:08:01 PM,C,24.769
05/08/14 02:28:01 PM,C,25.832
05/08/14 02:48:01 PM,C,29.143
05/08/14 03:08:01 PM,C,26.644
05/08/14 03:28:01 PM,C,26.582
05/08/14 03:48:01 PM,C,24.394
05/08/14 04:08:01 PM,C,24.832
05/08/14 04:28:01 PM,C,23.332
05/08/14 04:48:01 PM,C,23.144
05/08/14 05:08:01 PM,C,22.018
05/08/14 05:28:01 PM,C,21.518
05/08/14 05:48:01 PM,C,20.955
05/08/14 06:08:01 PM,C,20.392
05/08/14 06:28:01 PM,C,19.829
05/08/14 06:48:01 PM,C,19.579
05/08/14 07:08:01 PM,C,19.453
05/08/14 07:28:01 PM,C,18.89
05/08/14 07:48:01 PM,C,18.452
05/08/14 08:08:01 PM,C,17.951
05/08/14 08:28:01 PM,C,17.764
05/08/14 08:48:01 PM,C,17.513
05/08/14 09:08:01 PM,C,17.325
05/08/14 09:28:01 PM,C,17.2
05/08/14 09:48:01 PM,C,17.2
05/08/14 10:08:01 PM,C,16.887
05/08/14 10:28:01 PM,C,16.449
05/08/14 10:48:01 PM,C,16.199
05/08/14 11:08:01 PM,C,15.948
05/08/14 11:28:01 PM,C,15.698
05/08/14 11:48:01 PM,C,15.698
06/08/14 12:08:01 AM,C,15.572
06/08/14 12:28:01 AM,C,15.385
06/08/14 12:48:01 AM,C,15.572
06/08/14 01:08:01 AM,C,15.447
06/08/14 01:28:01 AM,C,15.51
06/08/14 01:48:01 AM,C,15.76
06/08/14 02:08:01 AM,C,15.698
06/08/14 02:28:01 AM,C,15.698
06/08/14 02:48:01 AM,C,15.76
06/08/14 03:08:01 AM,C,15.76
06/08/14 03:28:01 AM,C,15.948
06/08/14 03:48:01 AM,C,16.199
06/08/14 04:08:01 AM,C,16.512
06/08/14 04:28:01 AM,C,16.825
06/08/14 04:48:01 AM,C,17.138
06/08/14 05:08:01 AM,C,17.513
06/08/14 05:28:01 AM,C,17.638
06/08/14 05:48:01 AM,C,17.764
06/08/14 06:08:01 AM,C,17.951
06/08/14 06:28:01 AM,C,18.327
06/08/14 06:48:01 AM,C,18.39
06/08/14 07:08:01 AM,C,17.889
06/08/14 07:28:01 AM,C,18.077
06/08/14 07:48:01 AM,C,18.264
06/08/14 08:08:01 AM,C,18.327
06/08/14 08:28:01 AM,C,18.702
06/08/14 08:48:01 AM,C,19.203
06/08/14 09:08:01 AM,C,19.954
06/08/14 09:28:01 AM,C,20.892
06/08/14 09:48:01 AM,C,21.893
06/08/14 10:08:01 AM,C,22.456
06/08/14 10:28:01 AM,C,23.394
06/08/14 10:48:01 AM,C,25.082
06/08/14 11:08:01 AM,C,25.582
