1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FE000000337FC341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:10:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:30:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10669
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:30:01 AM,C,15.071
04/08/14 04:50:01 AM,C,15.134
04/08/14 05:10:01 AM,C,15.259
04/08/14 05:30:01 AM,C,15.322
04/08/14 05:50:01 AM,C,15.447
04/08/14 06:10:01 AM,C,16.261
04/08/14 06:30:01 AM,C,18.327
04/08/14 06:50:01 AM,C,18.64
04/08/14 07:10:01 AM,C,19.328
04/08/14 07:30:01 AM,C,20.517
04/08/14 07:50:01 AM,C,21.08
04/08/14 08:10:01 AM,C,23.019
04/08/14 08:30:01 AM,C,24.332
04/08/14 08:50:01 AM,C,25.52
04/08/14 09:10:01 AM,C,27.207
04/08/14 09:30:01 AM,C,28.706
04/08/14 09:50:01 AM,C,28.581
04/08/14 10:10:01 AM,C,29.58
04/08/14 10:30:01 AM,C,31.641
04/08/14 10:50:01 AM,C,31.828
04/08/14 11:10:01 AM,C,30.267
04/08/14 11:30:01 AM,C,30.704
04/08/14 11:50:01 AM,C,33.201
04/08/14 12:10:01 PM,C,32.327
04/08/14 12:30:01 PM,C,30.08
04/08/14 12:50:01 PM,C,32.265
04/08/14 01:10:01 PM,C,32.889
04/08/14 01:30:01 PM,C,32.827
04/08/14 01:50:01 PM,C,31.204
04/08/14 02:10:01 PM,C,30.392
04/08/14 02:30:01 PM,C,28.893
04/08/14 02:50:01 PM,C,29.143
04/08/14 03:10:01 PM,C,27.269
04/08/14 03:30:01 PM,C,23.582
04/08/14 03:50:01 PM,C,21.205
04/08/14 04:10:01 PM,C,20.329
04/08/14 04:30:01 PM,C,19.954
