1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2C000000337AC341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:07:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 03:47:01 CST 2014
Total Mission Samples:  3822
Total Device Samples:  10713
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 03:47:01 AM,C,15.979
04/08/14 04:07:01 AM,C,15.916
04/08/14 04:27:01 AM,C,15.916
04/08/14 04:47:01 AM,C,15.979
04/08/14 05:07:01 AM,C,16.042
04/08/14 05:27:01 AM,C,16.104
04/08/14 05:47:01 AM,C,16.167
04/08/14 06:07:01 AM,C,16.605
04/08/14 06:27:01 AM,C,17.981
04/08/14 06:47:01 AM,C,19.482
04/08/14 07:07:01 AM,C,22.547
04/08/14 07:27:01 AM,C,22.797
04/08/14 07:47:01 AM,C,23.797
04/08/14 08:07:01 AM,C,22.234
04/08/14 08:27:01 AM,C,22.422
04/08/14 08:47:01 AM,C,22.922
04/08/14 09:07:01 AM,C,23.422
04/08/14 09:27:01 AM,C,23.984
04/08/14 09:47:01 AM,C,24.297
04/08/14 10:07:01 AM,C,25.047
04/08/14 10:27:01 AM,C,25.172
04/08/14 10:47:01 AM,C,25.297
04/08/14 11:07:01 AM,C,25.297
04/08/14 11:27:01 AM,C,25.359
04/08/14 11:47:01 AM,C,25.609
04/08/14 12:07:01 PM,C,25.922
04/08/14 12:27:01 PM,C,25.109
04/08/14 12:47:01 PM,C,24.859
04/08/14 01:07:01 PM,C,25.047
04/08/14 01:27:01 PM,C,25.484
04/08/14 01:47:01 PM,C,25.297
04/08/14 02:07:01 PM,C,24.984
04/08/14 02:27:01 PM,C,25.109
04/08/14 02:47:01 PM,C,25.109
04/08/14 03:07:01 PM,C,24.859
04/08/14 03:27:01 PM,C,23.547
04/08/14 03:47:01 PM,C,21.421
04/08/14 04:07:01 PM,C,20.608
04/08/14 04:27:01 PM,C,20.295
04/08/14 04:47:01 PM,C,19.92
04/08/14 05:07:01 PM,C,19.608
04/08/14 05:27:01 PM,C,19.232
04/08/14 05:47:01 PM,C,18.982
04/08/14 06:07:01 PM,C,19.17
04/08/14 06:27:01 PM,C,19.045
04/08/14 06:47:01 PM,C,18.919
04/08/14 07:07:01 PM,C,18.919
04/08/14 07:27:01 PM,C,18.919
04/08/14 07:47:01 PM,C,18.732
04/08/14 08:07:01 PM,C,18.607
04/08/14 08:27:01 PM,C,18.294
04/08/14 08:47:01 PM,C,17.856
04/08/14 09:07:01 PM,C,17.543
04/08/14 09:27:01 PM,C,17.356
04/08/14 09:47:01 PM,C,17.105
04/08/14 10:07:01 PM,C,16.98
04/08/14 10:27:01 PM,C,16.918
04/08/14 10:47:01 PM,C,16.792
04/08/14 11:07:01 PM,C,16.667
04/08/14 11:27:01 PM,C,16.605
04/08/14 11:47:01 PM,C,16.417
05/08/14 12:07:01 AM,C,16.417
05/08/14 12:27:01 AM,C,16.417
05/08/14 12:47:01 AM,C,16.667
05/08/14 01:07:01 AM,C,16.667
05/08/14 01:27:01 AM,C,16.792
05/08/14 01:47:01 AM,C,16.73
05/08/14 02:07:01 AM,C,16.792
05/08/14 02:27:01 AM,C,16.792
05/08/14 02:47:01 AM,C,16.667
05/08/14 03:07:01 AM,C,16.542
05/08/14 03:27:01 AM,C,16.542
05/08/14 03:47:01 AM,C,16.417
05/08/14 04:07:01 AM,C,16.292
05/08/14 04:27:01 AM,C,16.417
05/08/14 04:47:01 AM,C,16.417
05/08/14 05:07:01 AM,C,16.417
05/08/14 05:27:01 AM,C,16.354
05/08/14 05:47:01 AM,C,16.417
05/08/14 06:07:01 AM,C,16.855
05/08/14 06:27:01 AM,C,17.981
05/08/14 06:47:01 AM,C,19.608
05/08/14 07:07:01 AM,C,22.922
05/08/14 07:27:01 AM,C,23.922
05/08/14 07:47:01 AM,C,24.984
05/08/14 08:07:01 AM,C,22.922
05/08/14 08:27:01 AM,C,22.859
05/08/14 08:47:01 AM,C,23.234
05/08/14 09:07:01 AM,C,23.672
05/08/14 09:27:01 AM,C,23.609
05/08/14 09:47:01 AM,C,24.297
05/08/14 10:07:01 AM,C,25.547
05/08/14 10:27:01 AM,C,25.109
05/08/14 10:47:01 AM,C,25.047
05/08/14 11:07:01 AM,C,24.484
05/08/14 11:27:01 AM,C,24.359
