1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D9000000337C7141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:11:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:51:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10846
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:51:01 PM,C,17.075
04/08/14 08:11:01 PM,C,16.449
04/08/14 08:31:01 PM,C,16.074
04/08/14 08:51:01 PM,C,15.886
04/08/14 09:11:01 PM,C,15.636
04/08/14 09:31:01 PM,C,15.386
04/08/14 09:51:01 PM,C,15.261
04/08/14 10:11:01 PM,C,15.073
04/08/14 10:31:01 PM,C,15.136
04/08/14 10:51:01 PM,C,15.136
04/08/14 11:11:01 PM,C,15.261
04/08/14 11:31:01 PM,C,15.073
04/08/14 11:51:01 PM,C,14.698
05/08/14 12:11:01 AM,C,14.51
05/08/14 12:31:01 AM,C,14.76
05/08/14 12:51:01 AM,C,14.948
05/08/14 01:11:01 AM,C,15.136
05/08/14 01:31:01 AM,C,14.948
05/08/14 01:51:01 AM,C,15.136
05/08/14 02:11:01 AM,C,15.511
05/08/14 02:31:01 AM,C,15.136
05/08/14 02:51:01 AM,C,14.823
05/08/14 03:11:01 AM,C,15.073
05/08/14 03:31:01 AM,C,15.198
05/08/14 03:51:01 AM,C,14.948
05/08/14 04:11:01 AM,C,14.823
05/08/14 04:31:01 AM,C,14.948
05/08/14 04:51:01 AM,C,15.323
05/08/14 05:11:01 AM,C,15.011
05/08/14 05:31:01 AM,C,15.011
05/08/14 05:51:01 AM,C,15.261
05/08/14 06:11:01 AM,C,15.761
05/08/14 06:31:01 AM,C,17.075
05/08/14 06:51:01 AM,C,19.014
05/08/14 07:11:01 AM,C,18.889
05/08/14 07:31:01 AM,C,19.201
05/08/14 07:51:01 AM,C,19.952
05/08/14 08:11:01 AM,C,24.016
05/08/14 08:31:01 AM,C,26.453
05/08/14 08:51:01 AM,C,27.765
05/08/14 09:11:01 AM,C,27.828
05/08/14 09:31:01 AM,C,27.265
05/08/14 09:51:01 AM,C,27.703
05/08/14 10:11:01 AM,C,30.451
05/08/14 10:31:01 AM,C,29.577
05/08/14 10:51:01 AM,C,30.451
05/08/14 11:11:01 AM,C,29.702
05/08/14 11:31:01 AM,C,29.39
05/08/14 11:51:01 AM,C,29.265
05/08/14 12:11:01 PM,C,29.577
05/08/14 12:31:01 PM,C,27.828
05/08/14 12:51:01 PM,C,30.951
05/08/14 01:11:01 PM,C,34.323
05/08/14 01:31:01 PM,C,27.765
05/08/14 01:51:01 PM,C,25.141
05/08/14 02:11:01 PM,C,26.578
05/08/14 02:31:01 PM,C,27.078
