1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 19000000337EB541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:23:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:23:01 CST 2014
Total Mission Samples:  3823
Total Device Samples:  10810
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:23:01 AM,C,15.194
04/08/14 04:43:01 AM,C,15.319
04/08/14 05:03:01 AM,C,15.444
04/08/14 05:23:01 AM,C,15.507
04/08/14 05:43:01 AM,C,15.444
04/08/14 06:03:01 AM,C,17.51
04/08/14 06:23:01 AM,C,20.514
04/08/14 06:43:01 AM,C,22.015
04/08/14 07:03:01 AM,C,24.766
04/08/14 07:23:01 AM,C,24.953
04/08/14 07:43:01 AM,C,25.641
04/08/14 08:03:01 AM,C,26.765
04/08/14 08:23:01 AM,C,27.952
04/08/14 08:43:01 AM,C,28.264
04/08/14 09:03:01 AM,C,27.827
04/08/14 09:23:01 AM,C,28.889
04/08/14 09:43:01 AM,C,28.015
04/08/14 10:03:01 AM,C,27.078
04/08/14 10:23:01 AM,C,27.952
04/08/14 10:43:01 AM,C,28.702
04/08/14 11:03:01 AM,C,27.265
04/08/14 11:23:01 AM,C,26.64
04/08/14 11:43:01 AM,C,26.64
04/08/14 12:03:01 PM,C,27.203
04/08/14 12:23:01 PM,C,26.078
04/08/14 12:43:01 PM,C,26.078
04/08/14 01:03:01 PM,C,26.203
04/08/14 01:23:01 PM,C,26.953
04/08/14 01:43:01 PM,C,26.328
04/08/14 02:03:01 PM,C,25.578
04/08/14 02:23:01 PM,C,26.203
04/08/14 02:43:01 PM,C,26.016
04/08/14 03:03:01 PM,C,24.828
04/08/14 03:23:01 PM,C,22.765
04/08/14 03:43:01 PM,C,21.014
04/08/14 04:03:01 PM,C,20.013
04/08/14 04:23:01 PM,C,19.575
04/08/14 04:43:01 PM,C,19.263
04/08/14 05:03:01 PM,C,18.95
04/08/14 05:23:01 PM,C,18.512
04/08/14 05:43:01 PM,C,18.512
04/08/14 06:03:01 PM,C,18.324
04/08/14 06:23:01 PM,C,18.324
04/08/14 06:43:01 PM,C,18.261
04/08/14 07:03:01 PM,C,18.199
04/08/14 07:23:01 PM,C,18.011
04/08/14 07:43:01 PM,C,17.886
04/08/14 08:03:01 PM,C,17.635
04/08/14 08:23:01 PM,C,17.072
04/08/14 08:43:01 PM,C,16.822
04/08/14 09:03:01 PM,C,16.634
04/08/14 09:23:01 PM,C,16.383
04/08/14 09:43:01 PM,C,16.196
04/08/14 10:03:01 PM,C,16.196
04/08/14 10:23:01 PM,C,16.196
04/08/14 10:43:01 PM,C,16.133
04/08/14 11:03:01 PM,C,16.133
04/08/14 11:23:01 PM,C,16.196
04/08/14 11:43:01 PM,C,16.07
05/08/14 12:03:01 AM,C,16.008
