1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE00000033820441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:22:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:42:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10889
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:42:01 PM,C,17.478
04/08/14 09:02:01 PM,C,17.29
04/08/14 09:22:01 PM,C,17.102
04/08/14 09:42:01 PM,C,16.789
04/08/14 10:02:01 PM,C,16.727
04/08/14 10:22:01 PM,C,16.664
04/08/14 10:42:01 PM,C,16.601
04/08/14 11:02:01 PM,C,16.476
04/08/14 11:22:01 PM,C,16.414
04/08/14 11:42:01 PM,C,16.351
05/08/14 12:02:01 AM,C,16.539
05/08/14 12:22:01 AM,C,16.414
05/08/14 12:42:01 AM,C,16.601
05/08/14 01:02:01 AM,C,16.539
05/08/14 01:22:01 AM,C,16.476
05/08/14 01:42:01 AM,C,16.601
05/08/14 02:02:01 AM,C,16.664
05/08/14 02:22:01 AM,C,16.539
05/08/14 02:42:01 AM,C,16.664
05/08/14 03:02:01 AM,C,16.351
05/08/14 03:22:01 AM,C,16.288
05/08/14 03:42:01 AM,C,16.351
05/08/14 04:02:01 AM,C,16.288
05/08/14 04:22:01 AM,C,16.226
05/08/14 04:42:01 AM,C,16.226
05/08/14 05:02:01 AM,C,16.288
05/08/14 05:22:01 AM,C,16.226
05/08/14 05:42:01 AM,C,16.226
05/08/14 06:02:01 AM,C,17.228
05/08/14 06:22:01 AM,C,18.48
05/08/14 06:42:01 AM,C,18.667
05/08/14 07:02:01 AM,C,19.356
05/08/14 07:22:01 AM,C,19.606
05/08/14 07:42:01 AM,C,19.794
05/08/14 08:02:01 AM,C,19.794
05/08/14 08:22:01 AM,C,20.107
05/08/14 08:42:01 AM,C,20.232
05/08/14 09:02:01 AM,C,20.482
05/08/14 09:22:01 AM,C,20.795
05/08/14 09:42:01 AM,C,21.608
05/08/14 10:02:01 AM,C,23.359
05/08/14 10:22:01 AM,C,23.922
05/08/14 10:42:01 AM,C,23.859
05/08/14 11:02:01 AM,C,23.172
05/08/14 11:22:01 AM,C,23.547
05/08/14 11:42:01 AM,C,23.859
05/08/14 12:02:01 PM,C,23.859
05/08/14 12:22:01 PM,C,23.297
05/08/14 12:42:01 PM,C,23.484
05/08/14 01:02:01 PM,C,24.547
05/08/14 01:22:01 PM,C,24.359
05/08/14 01:42:01 PM,C,23.109
05/08/14 02:02:01 PM,C,22.984
05/08/14 02:22:01 PM,C,22.671
05/08/14 02:42:01 PM,C,22.421
05/08/14 03:02:01 PM,C,22.796
05/08/14 03:22:01 PM,C,22.796
05/08/14 03:42:01 PM,C,22.609
05/08/14 04:02:01 PM,C,21.983
05/08/14 04:22:01 PM,C,21.295
05/08/14 04:42:01 PM,C,20.983
05/08/14 05:02:01 PM,C,20.732
05/08/14 05:22:01 PM,C,20.295
05/08/14 05:42:01 PM,C,19.919
05/08/14 06:02:01 PM,C,19.418
