1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FA0000003381C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:43:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10810
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:43:01 PM,C,18.119
04/08/14 08:03:01 PM,C,17.743
04/08/14 08:23:01 PM,C,17.054
04/08/14 08:43:01 PM,C,16.678
04/08/14 09:03:01 PM,C,16.365
04/08/14 09:23:01 PM,C,16.177
04/08/14 09:43:01 PM,C,16.052
04/08/14 10:03:01 PM,C,15.926
04/08/14 10:23:01 PM,C,15.926
04/08/14 10:43:01 PM,C,15.926
04/08/14 11:03:01 PM,C,15.926
04/08/14 11:23:01 PM,C,15.676
04/08/14 11:43:01 PM,C,15.676
05/08/14 12:03:01 AM,C,15.613
05/08/14 12:23:01 AM,C,15.676
05/08/14 12:43:01 AM,C,15.864
05/08/14 01:03:01 AM,C,15.926
05/08/14 01:23:01 AM,C,15.676
05/08/14 01:43:01 AM,C,15.801
05/08/14 02:03:01 AM,C,15.864
05/08/14 02:23:01 AM,C,15.801
05/08/14 02:43:01 AM,C,15.613
05/08/14 03:03:01 AM,C,15.488
05/08/14 03:23:01 AM,C,15.488
05/08/14 03:43:01 AM,C,15.676
05/08/14 04:03:01 AM,C,15.738
05/08/14 04:23:01 AM,C,15.613
05/08/14 04:43:01 AM,C,15.676
05/08/14 05:03:01 AM,C,15.676
05/08/14 05:23:01 AM,C,15.738
05/08/14 05:43:01 AM,C,15.926
05/08/14 06:03:01 AM,C,17.117
05/08/14 06:23:01 AM,C,19.746
05/08/14 06:43:01 AM,C,20.372
05/08/14 07:03:01 AM,C,20.623
05/08/14 07:23:01 AM,C,23.187
05/08/14 07:43:01 AM,C,22.437
05/08/14 08:03:01 AM,C,23.062
05/08/14 08:23:01 AM,C,27.749
05/08/14 08:43:01 AM,C,29.372
05/08/14 09:03:01 AM,C,29.31
05/08/14 09:23:01 AM,C,26.874
05/08/14 09:43:01 AM,C,28.373
05/08/14 10:03:01 AM,C,31.556
05/08/14 10:23:01 AM,C,29.06
05/08/14 10:43:01 AM,C,28.997
05/08/14 11:03:01 AM,C,27.437
05/08/14 11:23:01 AM,C,27.686
05/08/14 11:43:01 AM,C,28.623
05/08/14 12:03:01 PM,C,28.498
05/08/14 12:23:01 PM,C,27.062
05/08/14 12:43:01 PM,C,28.935
05/08/14 01:03:01 PM,C,30.308
05/08/14 01:23:01 PM,C,27.811
05/08/14 01:43:01 PM,C,24.938
05/08/14 02:03:01 PM,C,25.313
05/08/14 02:23:01 PM,C,25.188
05/08/14 02:43:01 PM,C,24.625
05/08/14 03:03:01 PM,C,25
05/08/14 03:23:01 PM,C,24.938
05/08/14 03:43:01 PM,C,24.688
05/08/14 04:03:01 PM,C,23.062
05/08/14 04:23:01 PM,C,21.811
05/08/14 04:43:01 PM,C,21.436
05/08/14 05:03:01 PM,C,20.623
05/08/14 05:23:01 PM,C,19.934
05/08/14 05:43:01 PM,C,19.308
05/08/14 06:03:01 PM,C,18.494
05/08/14 06:23:01 PM,C,18.119
05/08/14 06:43:01 PM,C,17.868
05/08/14 07:03:01 PM,C,17.555
05/08/14 07:23:01 PM,C,16.929
05/08/14 07:43:01 PM,C,16.553
05/08/14 08:03:01 PM,C,16.302
05/08/14 08:23:01 PM,C,16.365
05/08/14 08:43:01 PM,C,16.24
05/08/14 09:03:01 PM,C,16.114
05/08/14 09:23:01 PM,C,15.738
05/08/14 09:43:01 PM,C,15.55
05/08/14 10:03:01 PM,C,15.174
05/08/14 10:23:01 PM,C,14.861
05/08/14 10:43:01 PM,C,14.736
05/08/14 11:03:01 PM,C,14.924
05/08/14 11:23:01 PM,C,14.924
05/08/14 11:43:01 PM,C,14.986
06/08/14 12:03:01 AM,C,14.924
06/08/14 12:23:01 AM,C,14.861
06/08/14 12:43:01 AM,C,14.861
06/08/14 01:03:01 AM,C,14.861
06/08/14 01:23:01 AM,C,14.986
06/08/14 01:43:01 AM,C,15.237
06/08/14 02:03:01 AM,C,15.362
06/08/14 02:23:01 AM,C,15.425
06/08/14 02:43:01 AM,C,15.425
06/08/14 03:03:01 AM,C,15.237
06/08/14 03:23:01 AM,C,15.3
06/08/14 03:43:01 AM,C,15.55
06/08/14 04:03:01 AM,C,16.052
06/08/14 04:23:01 AM,C,16.49
06/08/14 04:43:01 AM,C,16.741
06/08/14 05:03:01 AM,C,16.929
06/08/14 05:23:01 AM,C,17.305
06/08/14 05:43:01 AM,C,17.367
06/08/14 06:03:01 AM,C,17.618
06/08/14 06:23:01 AM,C,17.68
06/08/14 06:43:01 AM,C,17.868
06/08/14 07:03:01 AM,C,17.743
06/08/14 07:23:01 AM,C,17.68
06/08/14 07:43:01 AM,C,17.618
06/08/14 08:03:01 AM,C,17.68
06/08/14 08:23:01 AM,C,18.244
06/08/14 08:43:01 AM,C,18.933
06/08/14 09:03:01 AM,C,20.372
06/08/14 09:23:01 AM,C,22.249
06/08/14 09:43:01 AM,C,24.188
06/08/14 10:03:01 AM,C,26.062
06/08/14 10:23:01 AM,C,28.186
06/08/14 10:43:01 AM,C,30.059
06/08/14 11:03:01 AM,C,29.934
06/08/14 11:23:01 AM,C,29.31
06/08/14 11:43:01 AM,C,28.81
06/08/14 12:03:01 PM,C,26.5
06/08/14 12:23:01 PM,C,25
06/08/14 12:43:01 PM,C,24.5
06/08/14 01:03:01 PM,C,23.375
06/08/14 01:23:01 PM,C,23.625
06/08/14 01:43:01 PM,C,26.375
06/08/14 02:03:01 PM,C,25.375
06/08/14 02:23:01 PM,C,23.75
06/08/14 02:43:01 PM,C,24.813
06/08/14 03:03:01 PM,C,24
06/08/14 03:23:01 PM,C,23.75
06/08/14 03:43:01 PM,C,23.375
06/08/14 04:03:01 PM,C,23.187
06/08/14 04:23:01 PM,C,23
06/08/14 04:43:01 PM,C,21.749
06/08/14 05:03:01 PM,C,21.186
06/08/14 05:23:01 PM,C,20.497
06/08/14 05:43:01 PM,C,19.433
06/08/14 06:03:01 PM,C,18.682
06/08/14 06:23:01 PM,C,18.807
06/08/14 06:43:01 PM,C,18.369
06/08/14 07:03:01 PM,C,18.244
06/08/14 07:23:01 PM,C,18.056
06/08/14 07:43:01 PM,C,17.618
06/08/14 08:03:01 PM,C,17.367
06/08/14 08:23:01 PM,C,17.054
06/08/14 08:43:01 PM,C,16.866
06/08/14 09:03:01 PM,C,16.553
06/08/14 09:23:01 PM,C,16.365
06/08/14 09:43:01 PM,C,16.24
06/08/14 10:03:01 PM,C,16.052
06/08/14 10:23:01 PM,C,16.052
06/08/14 10:43:01 PM,C,16.052
06/08/14 11:03:01 PM,C,15.989
06/08/14 11:23:01 PM,C,15.926
06/08/14 11:43:01 PM,C,16.052
07/08/14 12:03:01 AM,C,16.24
07/08/14 12:23:01 AM,C,16.365
07/08/14 12:43:01 AM,C,15.989
