1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000003382E541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:56:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:36:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10623
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:36:01 AM,C,16.324
04/08/14 04:56:01 AM,C,16.449
04/08/14 05:16:01 AM,C,16.512
04/08/14 05:36:01 AM,C,16.449
04/08/14 05:56:01 AM,C,16.699
04/08/14 06:16:01 AM,C,17.451
04/08/14 06:36:01 AM,C,18.64
04/08/14 06:56:01 AM,C,19.453
04/08/14 07:16:01 AM,C,21.08
04/08/14 07:36:01 AM,C,21.393
04/08/14 07:56:01 AM,C,21.58
04/08/14 08:16:01 AM,C,24.394
04/08/14 08:36:01 AM,C,24.832
04/08/14 08:56:01 AM,C,24.707
04/08/14 09:16:01 AM,C,24.957
04/08/14 09:36:01 AM,C,25.52
04/08/14 09:56:01 AM,C,28.519
04/08/14 10:16:01 AM,C,29.081
04/08/14 10:36:01 AM,C,29.643
04/08/14 10:56:01 AM,C,30.33
04/08/14 11:16:01 AM,C,33.077
04/08/14 11:36:01 AM,C,33.826
04/08/14 11:56:01 AM,C,34.325
04/08/14 12:16:01 PM,C,32.952
04/08/14 12:36:01 PM,C,32.952
04/08/14 12:56:01 PM,C,34.075
04/08/14 01:16:01 PM,C,33.264
04/08/14 01:36:01 PM,C,32.702
04/08/14 01:56:01 PM,C,32.64
04/08/14 02:16:01 PM,C,32.265
04/08/14 02:36:01 PM,C,32.016
04/08/14 02:56:01 PM,C,28.956
04/08/14 03:16:01 PM,C,27.332
04/08/14 03:36:01 PM,C,23.457
04/08/14 03:56:01 PM,C,21.893
04/08/14 04:16:01 PM,C,21.393
04/08/14 04:36:01 PM,C,21.017
04/08/14 04:56:01 PM,C,20.642
04/08/14 05:16:01 PM,C,20.329
04/08/14 05:36:01 PM,C,20.142
04/08/14 05:56:01 PM,C,20.267
04/08/14 06:16:01 PM,C,20.267
04/08/14 06:36:01 PM,C,20.392
04/08/14 06:56:01 PM,C,20.142
04/08/14 07:16:01 PM,C,20.079
04/08/14 07:36:01 PM,C,19.954
04/08/14 07:56:01 PM,C,19.578
04/08/14 08:16:01 PM,C,19.203
04/08/14 08:36:01 PM,C,18.828
04/08/14 08:56:01 PM,C,18.515
04/08/14 09:16:01 PM,C,18.327
04/08/14 09:36:01 PM,C,18.014
04/08/14 09:56:01 PM,C,17.764
04/08/14 10:16:01 PM,C,17.576
04/08/14 10:36:01 PM,C,17.451
04/08/14 10:56:01 PM,C,17.388
04/08/14 11:16:01 PM,C,17.138
04/08/14 11:36:01 PM,C,17.325
04/08/14 11:56:01 PM,C,17.325
05/08/14 12:16:01 AM,C,17.012
05/08/14 12:36:01 AM,C,17.075
05/08/14 12:56:01 AM,C,17.138
05/08/14 01:16:01 AM,C,17.075
05/08/14 01:36:01 AM,C,17.2
05/08/14 01:56:01 AM,C,17.263
05/08/14 02:16:01 AM,C,17.075
05/08/14 02:36:01 AM,C,16.95
05/08/14 02:56:01 AM,C,16.95
05/08/14 03:16:01 AM,C,16.95
05/08/14 03:36:01 AM,C,16.762
05/08/14 03:56:01 AM,C,16.762
05/08/14 04:16:01 AM,C,16.762
05/08/14 04:36:01 AM,C,16.574
05/08/14 04:56:01 AM,C,16.637
05/08/14 05:16:01 AM,C,16.637
05/08/14 05:36:01 AM,C,16.512
05/08/14 05:56:01 AM,C,16.574
05/08/14 06:16:01 AM,C,17.388
05/08/14 06:36:01 AM,C,18.828
05/08/14 06:56:01 AM,C,19.766
05/08/14 07:16:01 AM,C,21.643
05/08/14 07:36:01 AM,C,22.393
05/08/14 07:56:01 AM,C,22.331
05/08/14 08:16:01 AM,C,24.957
05/08/14 08:36:01 AM,C,25.332
05/08/14 08:56:01 AM,C,28.269
05/08/14 09:16:01 AM,C,28.894
05/08/14 09:36:01 AM,C,29.518
05/08/14 09:56:01 AM,C,28.644
05/08/14 10:16:01 AM,C,28.019
05/08/14 10:36:01 AM,C,28.706
05/08/14 10:56:01 AM,C,28.394
05/08/14 11:16:01 AM,C,27.832
05/08/14 11:36:01 AM,C,27.519
05/08/14 11:56:01 AM,C,27.707
05/08/14 12:16:01 PM,C,28.019
05/08/14 12:36:01 PM,C,29.268
05/08/14 12:56:01 PM,C,32.578
05/08/14 01:16:01 PM,C,31.516
05/08/14 01:36:01 PM,C,28.206
05/08/14 01:56:01 PM,C,27.019
05/08/14 02:16:01 PM,C,27.457
05/08/14 02:36:01 PM,C,29.206
05/08/14 02:56:01 PM,C,27.394
05/08/14 03:16:01 PM,C,28.894
05/08/14 03:36:01 PM,C,27.707
05/08/14 03:56:01 PM,C,25.52
05/08/14 04:16:01 PM,C,25.77
