1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 65000000337D1741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:18:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:38:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10789
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:38:01 PM,C,16.571
04/08/14 08:58:01 PM,C,16.133
04/08/14 09:18:01 PM,C,16.133
04/08/14 09:38:01 PM,C,15.695
04/08/14 09:58:01 PM,C,15.632
04/08/14 10:18:01 PM,C,15.507
04/08/14 10:38:01 PM,C,15.82
04/08/14 10:58:01 PM,C,15.757
04/08/14 11:18:01 PM,C,15.319
04/08/14 11:38:01 PM,C,15.131
04/08/14 11:58:01 PM,C,15.006
05/08/14 12:18:01 AM,C,15.444
05/08/14 12:38:01 AM,C,15.382
05/08/14 12:58:01 AM,C,15.82
05/08/14 01:18:01 AM,C,15.695
05/08/14 01:38:01 AM,C,15.444
05/08/14 01:58:01 AM,C,16.07
05/08/14 02:18:01 AM,C,15.757
05/08/14 02:38:01 AM,C,15.382
05/08/14 02:58:01 AM,C,15.507
05/08/14 03:18:01 AM,C,15.444
05/08/14 03:38:01 AM,C,15.194
05/08/14 03:58:01 AM,C,15.131
05/08/14 04:18:01 AM,C,15.319
05/08/14 04:38:01 AM,C,15.194
05/08/14 04:58:01 AM,C,14.943
05/08/14 05:18:01 AM,C,15.256
05/08/14 05:38:01 AM,C,15.256
05/08/14 05:58:01 AM,C,15.569
05/08/14 06:18:01 AM,C,17.823
05/08/14 06:38:01 AM,C,21.702
05/08/14 06:58:01 AM,C,22.578
05/08/14 07:18:01 AM,C,23.516
05/08/14 07:38:01 AM,C,25.203
05/08/14 07:58:01 AM,C,26.703
05/08/14 08:18:01 AM,C,27.765
05/08/14 08:38:01 AM,C,29.701
05/08/14 08:58:01 AM,C,30.637
05/08/14 09:18:01 AM,C,27.64
05/08/14 09:38:01 AM,C,26.953
05/08/14 09:58:01 AM,C,30.512
05/08/14 10:18:01 AM,C,30.263
05/08/14 10:38:01 AM,C,29.139
05/08/14 10:58:01 AM,C,26.765
05/08/14 11:18:01 AM,C,26.078
05/08/14 11:38:01 AM,C,27.14
05/08/14 11:58:01 AM,C,28.389
05/08/14 12:18:01 PM,C,27.265
05/08/14 12:38:01 PM,C,26.703
05/08/14 12:58:01 PM,C,28.452
05/08/14 01:18:01 PM,C,29.076
05/08/14 01:38:01 PM,C,25.891
05/08/14 01:58:01 PM,C,25.641
05/08/14 02:18:01 PM,C,26.141
05/08/14 02:38:01 PM,C,25.641
05/08/14 02:58:01 PM,C,25.828
05/08/14 03:18:01 PM,C,24.453
05/08/14 03:38:01 PM,C,24.016
05/08/14 03:58:01 PM,C,22.953
05/08/14 04:18:01 PM,C,21.89
05/08/14 04:38:01 PM,C,21.202
05/08/14 04:58:01 PM,C,20.639
