1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 55000000337E8D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:56:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:56:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10701
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:56:01 PM,C,18.368
04/08/14 08:16:01 PM,C,17.93
04/08/14 08:36:01 PM,C,17.492
04/08/14 08:56:01 PM,C,17.179
04/08/14 09:16:01 PM,C,16.866
04/08/14 09:36:01 PM,C,16.741
04/08/14 09:56:01 PM,C,16.616
04/08/14 10:16:01 PM,C,16.49
04/08/14 10:36:01 PM,C,16.49
04/08/14 10:56:01 PM,C,16.303
04/08/14 11:16:01 PM,C,16.365
04/08/14 11:36:01 PM,C,16.177
04/08/14 11:56:01 PM,C,16.24
05/08/14 12:16:01 AM,C,16.24
05/08/14 12:36:01 AM,C,16.49
05/08/14 12:56:01 AM,C,16.365
05/08/14 01:16:01 AM,C,16.49
05/08/14 01:36:01 AM,C,16.428
05/08/14 01:56:01 AM,C,16.553
05/08/14 02:16:01 AM,C,16.616
05/08/14 02:36:01 AM,C,16.428
05/08/14 02:56:01 AM,C,16.115
05/08/14 03:16:01 AM,C,16.303
05/08/14 03:36:01 AM,C,16.115
05/08/14 03:56:01 AM,C,16.052
05/08/14 04:16:01 AM,C,16.115
05/08/14 04:36:01 AM,C,16.177
05/08/14 04:56:01 AM,C,16.177
05/08/14 05:16:01 AM,C,16.115
05/08/14 05:36:01 AM,C,16.177
05/08/14 05:56:01 AM,C,19.557
05/08/14 06:16:01 AM,C,22.059
05/08/14 06:36:01 AM,C,25.186
05/08/14 06:56:01 AM,C,26.435
05/08/14 07:16:01 AM,C,26.998
05/08/14 07:36:01 AM,C,29.434
05/08/14 07:56:01 AM,C,29.996
05/08/14 08:16:01 AM,C,30.558
05/08/14 08:36:01 AM,C,30.434
05/08/14 08:56:01 AM,C,30.746
05/08/14 09:16:01 AM,C,28.56
05/08/14 09:36:01 AM,C,27.123
05/08/14 09:56:01 AM,C,27.748
05/08/14 10:16:01 AM,C,27.31
05/08/14 10:36:01 AM,C,26.873
05/08/14 10:56:01 AM,C,25.436
05/08/14 11:16:01 AM,C,25.123
05/08/14 11:36:01 AM,C,26.373
05/08/14 11:56:01 AM,C,26.56
05/08/14 12:16:01 PM,C,25.936
05/08/14 12:36:01 PM,C,25.811
05/08/14 12:56:01 PM,C,26.623
05/08/14 01:16:01 PM,C,28.31
05/08/14 01:36:01 PM,C,24.748
05/08/14 01:56:01 PM,C,25.561
05/08/14 02:16:01 PM,C,26.373
05/08/14 02:36:01 PM,C,28.185
05/08/14 02:56:01 PM,C,28.685
05/08/14 03:16:01 PM,C,27.31
05/08/14 03:36:01 PM,C,26.623
05/08/14 03:56:01 PM,C,24.373
05/08/14 04:16:01 PM,C,22.997
05/08/14 04:36:01 PM,C,22.56
05/08/14 04:56:01 PM,C,21.747
05/08/14 05:16:01 PM,C,21.121
05/08/14 05:36:01 PM,C,20.558
05/08/14 05:56:01 PM,C,19.682
05/08/14 06:16:01 PM,C,18.869
05/08/14 06:36:01 PM,C,18.744
05/08/14 06:56:01 PM,C,18.619
05/08/14 07:16:01 PM,C,18.118
05/08/14 07:36:01 PM,C,17.93
05/08/14 07:56:01 PM,C,17.555
05/08/14 08:16:01 PM,C,17.054
05/08/14 08:36:01 PM,C,16.991
05/08/14 08:56:01 PM,C,16.803
05/08/14 09:16:01 PM,C,16.803
05/08/14 09:36:01 PM,C,16.741
05/08/14 09:56:01 PM,C,16.49
05/08/14 10:16:01 PM,C,15.927
05/08/14 10:36:01 PM,C,15.802
05/08/14 10:56:01 PM,C,15.614
05/08/14 11:16:01 PM,C,15.99
05/08/14 11:36:01 PM,C,16.052
05/08/14 11:56:01 PM,C,15.614
06/08/14 12:16:01 AM,C,15.551
06/08/14 12:36:01 AM,C,15.489
06/08/14 12:56:01 AM,C,15.551
06/08/14 01:16:01 AM,C,15.802
06/08/14 01:36:01 AM,C,16.052
06/08/14 01:56:01 AM,C,16.177
06/08/14 02:16:01 AM,C,16.177
06/08/14 02:36:01 AM,C,16.553
06/08/14 02:56:01 AM,C,16.115
06/08/14 03:16:01 AM,C,15.99
06/08/14 03:36:01 AM,C,16.303
06/08/14 03:56:01 AM,C,16.616
06/08/14 04:16:01 AM,C,17.179
06/08/14 04:36:01 AM,C,17.304
06/08/14 04:56:01 AM,C,17.429
06/08/14 05:16:01 AM,C,17.617
06/08/14 05:36:01 AM,C,17.742
06/08/14 05:56:01 AM,C,17.742
06/08/14 06:16:01 AM,C,17.993
06/08/14 06:36:01 AM,C,18.18
06/08/14 06:56:01 AM,C,17.93
06/08/14 07:16:01 AM,C,17.93
06/08/14 07:36:01 AM,C,17.742
06/08/14 07:56:01 AM,C,18.243
06/08/14 08:16:01 AM,C,18.18
06/08/14 08:36:01 AM,C,18.806
06/08/14 08:56:01 AM,C,19.995
06/08/14 09:16:01 AM,C,21.059
06/08/14 09:36:01 AM,C,23.185
06/08/14 09:56:01 AM,C,23.685
