1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 86000000337B0841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:58:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:18:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10730
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:18:01 AM,C,14.549
04/08/14 04:38:01 AM,C,14.549
04/08/14 04:58:01 AM,C,14.8
04/08/14 05:18:01 AM,C,14.8
04/08/14 05:38:01 AM,C,14.8
04/08/14 05:58:01 AM,C,15.551
04/08/14 06:18:01 AM,C,16.428
04/08/14 06:38:01 AM,C,18.055
04/08/14 06:58:01 AM,C,20.058
04/08/14 07:18:01 AM,C,22.372
04/08/14 07:38:01 AM,C,23.623
04/08/14 07:58:01 AM,C,25.561
04/08/14 08:18:01 AM,C,26.435
04/08/14 08:38:01 AM,C,27.248
04/08/14 08:58:01 AM,C,26.998
04/08/14 09:18:01 AM,C,26.685
04/08/14 09:38:01 AM,C,25.998
04/08/14 09:58:01 AM,C,26.311
04/08/14 10:18:01 AM,C,27.435
04/08/14 10:38:01 AM,C,26.435
04/08/14 10:58:01 AM,C,26.435
04/08/14 11:18:01 AM,C,25.248
04/08/14 11:38:01 AM,C,24.248
04/08/14 11:58:01 AM,C,26.123
04/08/14 12:18:01 PM,C,25.498
04/08/14 12:38:01 PM,C,24.998
04/08/14 12:58:01 PM,C,25.686
04/08/14 01:18:01 PM,C,25.623
04/08/14 01:38:01 PM,C,25.561
04/08/14 01:58:01 PM,C,25.061
04/08/14 02:18:01 PM,C,24.748
04/08/14 02:38:01 PM,C,24.936
04/08/14 02:58:01 PM,C,25.248
04/08/14 03:18:01 PM,C,23.685
04/08/14 03:38:01 PM,C,21.684
04/08/14 03:58:01 PM,C,19.87
04/08/14 04:18:01 PM,C,19.557
04/08/14 04:38:01 PM,C,19.495
04/08/14 04:58:01 PM,C,19.119
04/08/14 05:18:01 PM,C,18.931
04/08/14 05:38:01 PM,C,18.744
04/08/14 05:58:01 PM,C,18.306
04/08/14 06:18:01 PM,C,18.306
04/08/14 06:38:01 PM,C,18.055
04/08/14 06:58:01 PM,C,18.181
04/08/14 07:18:01 PM,C,17.868
04/08/14 07:38:01 PM,C,17.68
04/08/14 07:58:01 PM,C,17.179
04/08/14 08:18:01 PM,C,16.49
04/08/14 08:38:01 PM,C,16.115
04/08/14 08:58:01 PM,C,15.802
04/08/14 09:18:01 PM,C,15.739
04/08/14 09:38:01 PM,C,15.489
04/08/14 09:58:01 PM,C,15.364
04/08/14 10:18:01 PM,C,15.301
04/08/14 10:38:01 PM,C,15.301
04/08/14 10:58:01 PM,C,15.238
04/08/14 11:18:01 PM,C,15.113
04/08/14 11:38:01 PM,C,14.988
04/08/14 11:58:01 PM,C,14.925
05/08/14 12:18:01 AM,C,15.05
05/08/14 12:38:01 AM,C,15.176
05/08/14 12:58:01 AM,C,15.364
05/08/14 01:18:01 AM,C,15.238
05/08/14 01:38:01 AM,C,15.176
05/08/14 01:58:01 AM,C,15.426
05/08/14 02:18:01 AM,C,15.551
05/08/14 02:38:01 AM,C,15.238
05/08/14 02:58:01 AM,C,15.301
05/08/14 03:18:01 AM,C,15.301
05/08/14 03:38:01 AM,C,15.301
05/08/14 03:58:01 AM,C,15.238
05/08/14 04:18:01 AM,C,15.176
05/08/14 04:38:01 AM,C,15.238
05/08/14 04:58:01 AM,C,15.301
05/08/14 05:18:01 AM,C,15.238
05/08/14 05:38:01 AM,C,15.176
05/08/14 05:58:01 AM,C,15.739
05/08/14 06:18:01 AM,C,17.054
05/08/14 06:38:01 AM,C,18.431
05/08/14 06:58:01 AM,C,20.746
05/08/14 07:18:01 AM,C,22.435
05/08/14 07:38:01 AM,C,24.498
05/08/14 07:58:01 AM,C,26.248
05/08/14 08:18:01 AM,C,27.06
05/08/14 08:38:01 AM,C,27.31
05/08/14 08:58:01 AM,C,27.373
05/08/14 09:18:01 AM,C,25.436
05/08/14 09:38:01 AM,C,25.998
05/08/14 09:58:01 AM,C,27.123
05/08/14 10:18:01 AM,C,26.061
05/08/14 10:38:01 AM,C,26.311
05/08/14 10:58:01 AM,C,25.936
