1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 21000000337C7A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:47:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:07:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10659
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:07:01 PM,C,18.055
04/08/14 08:27:01 PM,C,17.492
04/08/14 08:47:01 PM,C,17.116
04/08/14 09:07:01 PM,C,16.991
04/08/14 09:27:01 PM,C,16.741
04/08/14 09:47:01 PM,C,16.49
04/08/14 10:07:01 PM,C,16.428
04/08/14 10:27:01 PM,C,16.365
04/08/14 10:47:01 PM,C,16.302
04/08/14 11:07:01 PM,C,16.24
04/08/14 11:27:01 PM,C,16.24
04/08/14 11:47:01 PM,C,16.177
05/08/14 12:07:01 AM,C,16.115
05/08/14 12:27:01 AM,C,16.115
05/08/14 12:47:01 AM,C,16.302
05/08/14 01:07:01 AM,C,16.365
05/08/14 01:27:01 AM,C,16.302
05/08/14 01:47:01 AM,C,16.49
05/08/14 02:07:01 AM,C,16.553
05/08/14 02:27:01 AM,C,16.365
05/08/14 02:47:01 AM,C,16.177
05/08/14 03:07:01 AM,C,16.177
05/08/14 03:27:01 AM,C,16.115
05/08/14 03:47:01 AM,C,15.989
05/08/14 04:07:01 AM,C,16.052
05/08/14 04:27:01 AM,C,16.115
05/08/14 04:47:01 AM,C,15.927
05/08/14 05:07:01 AM,C,15.927
05/08/14 05:27:01 AM,C,15.927
05/08/14 05:47:01 AM,C,15.989
05/08/14 06:07:01 AM,C,16.615
05/08/14 06:27:01 AM,C,17.304
05/08/14 06:47:01 AM,C,17.93
05/08/14 07:07:01 AM,C,18.869
05/08/14 07:27:01 AM,C,19.745
05/08/14 07:47:01 AM,C,20.496
05/08/14 08:07:01 AM,C,21.246
05/08/14 08:27:01 AM,C,22.31
05/08/14 08:47:01 AM,C,22.935
05/08/14 09:07:01 AM,C,24.123
05/08/14 09:27:01 AM,C,23.935
05/08/14 09:47:01 AM,C,25.623
05/08/14 10:07:01 AM,C,26.873
05/08/14 10:27:01 AM,C,26.123
05/08/14 10:47:01 AM,C,26.186
05/08/14 11:07:01 AM,C,25.123
05/08/14 11:27:01 AM,C,25.373
05/08/14 11:47:01 AM,C,26.935
05/08/14 12:07:01 PM,C,27.123
05/08/14 12:27:01 PM,C,24.873
05/08/14 12:47:01 PM,C,26.998
05/08/14 01:07:01 PM,C,28.247
05/08/14 01:27:01 PM,C,26.373
05/08/14 01:47:01 PM,C,24.373
05/08/14 02:07:01 PM,C,25.686
05/08/14 02:27:01 PM,C,26.31
05/08/14 02:47:01 PM,C,27.997
05/08/14 03:07:01 PM,C,27.81
05/08/14 03:27:01 PM,C,26.373
05/08/14 03:47:01 PM,C,24.873
05/08/14 04:07:01 PM,C,23.248
05/08/14 04:27:01 PM,C,22.185
05/08/14 04:47:01 PM,C,21.872
05/08/14 05:07:01 PM,C,21.309
05/08/14 05:27:01 PM,C,20.683
05/08/14 05:47:01 PM,C,20.058
05/08/14 06:07:01 PM,C,19.307
05/08/14 06:27:01 PM,C,18.869
05/08/14 06:47:01 PM,C,18.431
05/08/14 07:07:01 PM,C,18.055
05/08/14 07:27:01 PM,C,17.617
05/08/14 07:47:01 PM,C,17.179
05/08/14 08:07:01 PM,C,16.866
05/08/14 08:27:01 PM,C,16.803
05/08/14 08:47:01 PM,C,16.615
05/08/14 09:07:01 PM,C,16.615
05/08/14 09:27:01 PM,C,16.428
05/08/14 09:47:01 PM,C,16.177
05/08/14 10:07:01 PM,C,15.551
05/08/14 10:27:01 PM,C,15.175
05/08/14 10:47:01 PM,C,14.987
05/08/14 11:07:01 PM,C,14.862
05/08/14 11:27:01 PM,C,14.862
05/08/14 11:47:01 PM,C,14.987
06/08/14 12:07:01 AM,C,15.05
06/08/14 12:27:01 AM,C,14.862
06/08/14 12:47:01 AM,C,14.862
06/08/14 01:07:01 AM,C,14.925
06/08/14 01:27:01 AM,C,15.05
06/08/14 01:47:01 AM,C,15.363
06/08/14 02:07:01 AM,C,15.488
06/08/14 02:27:01 AM,C,15.614
06/08/14 02:47:01 AM,C,15.801
06/08/14 03:07:01 AM,C,15.927
06/08/14 03:27:01 AM,C,16.052
06/08/14 03:47:01 AM,C,16.177
06/08/14 04:07:01 AM,C,16.615
06/08/14 04:27:01 AM,C,16.928
06/08/14 04:47:01 AM,C,17.116
06/08/14 05:07:01 AM,C,17.242
06/08/14 05:27:01 AM,C,17.367
06/08/14 05:47:01 AM,C,17.555
06/08/14 06:07:01 AM,C,17.68
06/08/14 06:27:01 AM,C,17.68
06/08/14 06:47:01 AM,C,17.68
06/08/14 07:07:01 AM,C,17.555
06/08/14 07:27:01 AM,C,17.429
06/08/14 07:47:01 AM,C,17.367
06/08/14 08:07:01 AM,C,17.492
06/08/14 08:27:01 AM,C,17.867
06/08/14 08:47:01 AM,C,18.556
06/08/14 09:07:01 AM,C,19.432
06/08/14 09:27:01 AM,C,20.433
06/08/14 09:47:01 AM,C,21.246
06/08/14 10:07:01 AM,C,22.998
06/08/14 10:27:01 AM,C,24.06
06/08/14 10:47:01 AM,C,24.435
06/08/14 11:07:01 AM,C,24.31
06/08/14 11:27:01 AM,C,26.81
06/08/14 11:47:01 AM,C,25.873
06/08/14 12:07:01 PM,C,26.061
06/08/14 12:27:01 PM,C,24.748
06/08/14 12:47:01 PM,C,23.748
06/08/14 01:07:01 PM,C,23.248
06/08/14 01:27:01 PM,C,23.435
06/08/14 01:47:01 PM,C,26.248
06/08/14 02:07:01 PM,C,24.248
06/08/14 02:27:01 PM,C,23.81
06/08/14 02:47:01 PM,C,24.31
06/08/14 03:07:01 PM,C,24.748
06/08/14 03:27:01 PM,C,23.623
06/08/14 03:47:01 PM,C,23.248
06/08/14 04:07:01 PM,C,23.31
06/08/14 04:27:01 PM,C,22.747
06/08/14 04:47:01 PM,C,21.934
06/08/14 05:07:01 PM,C,21.497
06/08/14 05:27:01 PM,C,21.121
06/08/14 05:47:01 PM,C,20.245
06/08/14 06:07:01 PM,C,19.37
06/08/14 06:27:01 PM,C,19.495
06/08/14 06:47:01 PM,C,19.307
06/08/14 07:07:01 PM,C,18.869
06/08/14 07:27:01 PM,C,18.744
06/08/14 07:47:01 PM,C,18.744
06/08/14 08:07:01 PM,C,18.18
06/08/14 08:27:01 PM,C,17.805
06/08/14 08:47:01 PM,C,17.492
06/08/14 09:07:01 PM,C,17.179
06/08/14 09:27:01 PM,C,17.054
06/08/14 09:47:01 PM,C,16.928
06/08/14 10:07:01 PM,C,16.803
06/08/14 10:27:01 PM,C,16.678
06/08/14 10:47:01 PM,C,16.615
06/08/14 11:07:01 PM,C,16.553
06/08/14 11:27:01 PM,C,16.428
06/08/14 11:47:01 PM,C,16.615
07/08/14 12:07:01 AM,C,16.866
07/08/14 12:27:01 AM,C,16.928
07/08/14 12:47:01 AM,C,16.615
07/08/14 01:07:01 AM,C,16.365
07/08/14 01:27:01 AM,C,16.115
07/08/14 01:47:01 AM,C,15.989
07/08/14 02:07:01 AM,C,15.864
07/08/14 02:27:01 AM,C,15.801
07/08/14 02:47:01 AM,C,15.614
07/08/14 03:07:01 AM,C,15.551
07/08/14 03:27:01 AM,C,15.551
07/08/14 03:47:01 AM,C,15.426
07/08/14 04:07:01 AM,C,15.488
07/08/14 04:27:01 AM,C,15.676
07/08/14 04:47:01 AM,C,15.614
07/08/14 05:07:01 AM,C,15.551
07/08/14 05:27:01 AM,C,15.551
07/08/14 05:47:01 AM,C,15.864
07/08/14 06:07:01 AM,C,16.428
07/08/14 06:27:01 AM,C,17.179
07/08/14 06:47:01 AM,C,17.742
07/08/14 07:07:01 AM,C,18.431
07/08/14 07:27:01 AM,C,19.87
07/08/14 07:47:01 AM,C,20.621
07/08/14 08:07:01 AM,C,21.622
07/08/14 08:27:01 AM,C,23.56
07/08/14 08:47:01 AM,C,25.123
07/08/14 09:07:01 AM,C,23.873
07/08/14 09:27:01 AM,C,23.873
07/08/14 09:47:01 AM,C,25.436
07/08/14 10:07:01 AM,C,26.123
07/08/14 10:27:01 AM,C,26.81
07/08/14 10:47:01 AM,C,27.81
07/08/14 11:07:01 AM,C,26.498
07/08/14 11:27:01 AM,C,27.373
07/08/14 11:47:01 AM,C,27.81
07/08/14 12:07:01 PM,C,28.122
07/08/14 12:27:01 PM,C,27.872
07/08/14 12:47:01 PM,C,28.06
07/08/14 01:07:01 PM,C,28.435
07/08/14 01:27:01 PM,C,27.997
07/08/14 01:47:01 PM,C,27.747
07/08/14 02:07:01 PM,C,25.561
07/08/14 02:27:01 PM,C,25.936
07/08/14 02:47:01 PM,C,26.873
07/08/14 03:07:01 PM,C,27.685
07/08/14 03:27:01 PM,C,26.56
07/08/14 03:47:01 PM,C,24.811
07/08/14 04:07:01 PM,C,23.685
07/08/14 04:27:01 PM,C,22.81
07/08/14 04:47:01 PM,C,22.059
07/08/14 05:07:01 PM,C,21.809
07/08/14 05:27:01 PM,C,21.747
07/08/14 05:47:01 PM,C,20.683
07/08/14 06:07:01 PM,C,19.557
07/08/14 06:27:01 PM,C,19.057
07/08/14 06:47:01 PM,C,19.682
07/08/14 07:07:01 PM,C,20.058
07/08/14 07:27:01 PM,C,19.37
07/08/14 07:47:01 PM,C,18.931
07/08/14 08:07:01 PM,C,19.119
07/08/14 08:27:01 PM,C,19.057
07/08/14 08:47:01 PM,C,18.619
07/08/14 09:07:01 PM,C,18.368
07/08/14 09:27:01 PM,C,17.993
07/08/14 09:47:01 PM,C,17.867
07/08/14 10:07:01 PM,C,18.055
07/08/14 10:27:01 PM,C,18.118
07/08/14 10:47:01 PM,C,18.118
07/08/14 11:07:01 PM,C,17.993
07/08/14 11:27:01 PM,C,17.742
07/08/14 11:47:01 PM,C,17.617
08/08/14 12:07:01 AM,C,17.242
08/08/14 12:27:01 AM,C,17.054
08/08/14 12:47:01 AM,C,16.991
08/08/14 01:07:01 AM,C,16.866
08/08/14 01:27:01 AM,C,16.678
08/08/14 01:47:01 AM,C,16.428
08/08/14 02:07:01 AM,C,16.302
08/08/14 02:27:01 AM,C,16.302
08/08/14 02:47:01 AM,C,16.052
08/08/14 03:07:01 AM,C,16.052
08/08/14 03:27:01 AM,C,16.428
08/08/14 03:47:01 AM,C,16.49
08/08/14 04:07:01 AM,C,16.803
08/08/14 04:27:01 AM,C,17.054
08/08/14 04:47:01 AM,C,17.179
08/08/14 05:07:01 AM,C,17.116
08/08/14 05:27:01 AM,C,17.179
08/08/14 05:47:01 AM,C,17.304
08/08/14 06:07:01 AM,C,17.304
08/08/14 06:27:01 AM,C,17.429
08/08/14 06:47:01 AM,C,17.304
08/08/14 07:07:01 AM,C,17.304
08/08/14 07:27:01 AM,C,17.555
08/08/14 07:47:01 AM,C,17.68
08/08/14 08:07:01 AM,C,17.93
08/08/14 08:27:01 AM,C,18.243
08/08/14 08:47:01 AM,C,18.806
08/08/14 09:07:01 AM,C,18.869
08/08/14 09:27:01 AM,C,18.806
08/08/14 09:47:01 AM,C,18.931
08/08/14 10:07:01 AM,C,19.432
08/08/14 10:27:01 AM,C,19.119
