1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C2000000337B7C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:50:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:10:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10795
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:10:01 AM,C,15.416
04/08/14 04:30:01 AM,C,15.353
04/08/14 04:50:01 AM,C,15.416
04/08/14 05:10:01 AM,C,15.541
04/08/14 05:30:01 AM,C,15.478
04/08/14 05:50:01 AM,C,15.541
04/08/14 06:10:01 AM,C,16.104
04/08/14 06:30:01 AM,C,17.981
04/08/14 06:50:01 AM,C,18.919
04/08/14 07:10:01 AM,C,19.42
04/08/14 07:30:01 AM,C,19.92
04/08/14 07:50:01 AM,C,20.858
04/08/14 08:10:01 AM,C,20.983
04/08/14 08:30:01 AM,C,21.671
04/08/14 08:50:01 AM,C,22.547
04/08/14 09:10:01 AM,C,23.609
04/08/14 09:30:01 AM,C,24.797
04/08/14 09:50:01 AM,C,25.922
04/08/14 10:10:01 AM,C,27.234
04/08/14 10:30:01 AM,C,29.358
04/08/14 10:50:01 AM,C,30.295
04/08/14 11:10:01 AM,C,29.233
04/08/14 11:30:01 AM,C,31.668
04/08/14 11:50:01 AM,C,30.482
04/08/14 12:10:01 PM,C,31.419
04/08/14 12:30:01 PM,C,30.982
04/08/14 12:50:01 PM,C,32.418
04/08/14 01:10:01 PM,C,32.293
04/08/14 01:30:01 PM,C,32.605
04/08/14 01:50:01 PM,C,30.857
04/08/14 02:10:01 PM,C,30.857
04/08/14 02:30:01 PM,C,29.795
