1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4200000033777441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:09:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:29:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10803
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:29:01 PM,%RH,102.011
04/08/14 08:49:01 PM,%RH,102.475
04/08/14 09:09:01 PM,%RH,102.011
04/08/14 09:29:01 PM,%RH,101.545
04/08/14 09:49:01 PM,%RH,102.475
04/08/14 10:09:01 PM,%RH,102.475
04/08/14 10:29:01 PM,%RH,102.938
04/08/14 10:49:01 PM,%RH,101.545
04/08/14 11:09:01 PM,%RH,102.938
04/08/14 11:29:01 PM,%RH,102.938
04/08/14 11:49:01 PM,%RH,102.475
05/08/14 12:09:01 AM,%RH,102.938
05/08/14 12:29:01 AM,%RH,102.938
05/08/14 12:49:01 AM,%RH,103.399
05/08/14 01:09:01 AM,%RH,101.545
05/08/14 01:29:01 AM,%RH,102.011
05/08/14 01:49:01 AM,%RH,102.475
05/08/14 02:09:01 AM,%RH,104.317
05/08/14 02:29:01 AM,%RH,102.475
05/08/14 02:49:01 AM,%RH,102.938
05/08/14 03:09:01 AM,%RH,102.475
05/08/14 03:29:01 AM,%RH,102.475
05/08/14 03:49:01 AM,%RH,102.938
05/08/14 04:09:01 AM,%RH,102.475
05/08/14 04:29:01 AM,%RH,102.475
05/08/14 04:49:01 AM,%RH,102.938
05/08/14 05:09:01 AM,%RH,102.938
05/08/14 05:29:01 AM,%RH,102.938
05/08/14 05:49:01 AM,%RH,102.938
05/08/14 06:09:01 AM,%RH,102.475
05/08/14 06:29:01 AM,%RH,102.475
05/08/14 06:49:01 AM,%RH,101.545
05/08/14 07:09:01 AM,%RH,101.545
05/08/14 07:29:01 AM,%RH,101.545
05/08/14 07:49:01 AM,%RH,101.545
05/08/14 08:09:01 AM,%RH,101.545
05/08/14 08:29:01 AM,%RH,101.077
05/08/14 08:49:01 AM,%RH,101.077
05/08/14 09:09:01 AM,%RH,101.077
05/08/14 09:29:01 AM,%RH,100.138
05/08/14 09:49:01 AM,%RH,99.192
05/08/14 10:09:01 AM,%RH,93.875
05/08/14 10:29:01 AM,%RH,82.667
05/08/14 10:49:01 AM,%RH,83.194
05/08/14 11:09:01 AM,%RH,81.611
05/08/14 11:29:01 AM,%RH,81.611
05/08/14 11:49:01 AM,%RH,78.941
05/08/14 12:09:01 PM,%RH,77.32
05/08/14 12:29:01 PM,%RH,80.547
05/08/14 12:49:01 PM,%RH,73.483
05/08/14 01:09:01 PM,%RH,68.435
05/08/14 01:29:01 PM,%RH,73.483
05/08/14 01:49:01 PM,%RH,83.718
05/08/14 02:09:01 PM,%RH,74.587
05/08/14 02:29:01 PM,%RH,75.137
05/08/14 02:49:01 PM,%RH,69.002
05/08/14 03:09:01 PM,%RH,67.866
05/08/14 03:29:01 PM,%RH,74.587
05/08/14 03:49:01 PM,%RH,82.14
05/08/14 04:09:01 PM,%RH,88.367
05/08/14 04:29:01 PM,%RH,90.894
05/08/14 04:49:01 PM,%RH,91.894
05/08/14 05:09:01 PM,%RH,93.382
05/08/14 05:29:01 PM,%RH,95.344
05/08/14 05:49:01 PM,%RH,96.315
05/08/14 06:09:01 PM,%RH,96.315
05/08/14 06:29:01 PM,%RH,98.239
05/08/14 06:49:01 PM,%RH,98.716
05/08/14 07:09:01 PM,%RH,98.716
05/08/14 07:29:01 PM,%RH,99.192
05/08/14 07:49:01 PM,%RH,100.608
05/08/14 08:09:01 PM,%RH,101.545
05/08/14 08:29:01 PM,%RH,99.192
05/08/14 08:49:01 PM,%RH,99.665
05/08/14 09:09:01 PM,%RH,98.716
05/08/14 09:29:01 PM,%RH,99.192
05/08/14 09:49:01 PM,%RH,94.366
05/08/14 10:09:01 PM,%RH,93.875
05/08/14 10:29:01 PM,%RH,94.856
05/08/14 10:49:01 PM,%RH,93.875
05/08/14 11:09:01 PM,%RH,91.894
05/08/14 11:29:01 PM,%RH,90.894
05/08/14 11:49:01 PM,%RH,95.344
06/08/14 12:09:01 AM,%RH,95.344
06/08/14 12:29:01 AM,%RH,95.83
06/08/14 12:49:01 AM,%RH,94.856
06/08/14 01:09:01 AM,%RH,96.315
06/08/14 01:29:01 AM,%RH,98.239
06/08/14 01:49:01 AM,%RH,98.716
06/08/14 02:09:01 AM,%RH,99.665
06/08/14 02:29:01 AM,%RH,101.545
06/08/14 02:49:01 AM,%RH,100.138
06/08/14 03:09:01 AM,%RH,99.665
06/08/14 03:29:01 AM,%RH,99.192
06/08/14 03:49:01 AM,%RH,98.239
06/08/14 04:09:01 AM,%RH,97.28
