1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B000000337B8941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:58:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:38:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10655
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:38:01 AM,C,15.144
04/08/14 04:58:01 AM,C,15.394
04/08/14 05:18:01 AM,C,15.457
04/08/14 05:38:01 AM,C,15.394
04/08/14 05:58:01 AM,C,15.645
04/08/14 06:18:01 AM,C,16.521
04/08/14 06:38:01 AM,C,18.46
04/08/14 06:58:01 AM,C,19.211
04/08/14 07:18:01 AM,C,19.836
04/08/14 07:38:01 AM,C,20.461
04/08/14 07:58:01 AM,C,20.712
04/08/14 08:18:01 AM,C,21.712
04/08/14 08:38:01 AM,C,24.713
04/08/14 08:58:01 AM,C,25.713
04/08/14 09:18:01 AM,C,25.65
04/08/14 09:38:01 AM,C,26.775
04/08/14 09:58:01 AM,C,26.963
04/08/14 10:18:01 AM,C,28.775
04/08/14 10:38:01 AM,C,30.024
04/08/14 10:58:01 AM,C,31.086
04/08/14 11:18:01 AM,C,29.399
04/08/14 11:38:01 AM,C,31.46
04/08/14 11:58:01 AM,C,30.898
04/08/14 12:18:01 PM,C,30.836
04/08/14 12:38:01 PM,C,30.149
04/08/14 12:58:01 PM,C,28.65
04/08/14 01:18:01 PM,C,28.275
04/08/14 01:38:01 PM,C,28.525
04/08/14 01:58:01 PM,C,26.963
04/08/14 02:18:01 PM,C,27.525
04/08/14 02:38:01 PM,C,26.838
04/08/14 02:58:01 PM,C,27.15
04/08/14 03:18:01 PM,C,25.275
04/08/14 03:38:01 PM,C,23.025
04/08/14 03:58:01 PM,C,21.149
04/08/14 04:18:01 PM,C,20.587
04/08/14 04:38:01 PM,C,20.274
04/08/14 04:58:01 PM,C,19.899
04/08/14 05:18:01 PM,C,19.586
04/08/14 05:38:01 PM,C,19.398
04/08/14 05:58:01 PM,C,19.336
04/08/14 06:18:01 PM,C,19.211
04/08/14 06:38:01 PM,C,19.085
04/08/14 06:58:01 PM,C,19.085
04/08/14 07:18:01 PM,C,18.898
04/08/14 07:38:01 PM,C,18.71
04/08/14 07:58:01 PM,C,18.46
04/08/14 08:18:01 PM,C,18.085
04/08/14 08:38:01 PM,C,17.584
04/08/14 08:58:01 PM,C,17.209
04/08/14 09:18:01 PM,C,16.896
04/08/14 09:38:01 PM,C,16.646
04/08/14 09:58:01 PM,C,16.521
04/08/14 10:18:01 PM,C,16.395
04/08/14 10:38:01 PM,C,16.395
04/08/14 10:58:01 PM,C,16.27
04/08/14 11:18:01 PM,C,16.083
04/08/14 11:38:01 PM,C,15.832
04/08/14 11:58:01 PM,C,15.707
05/08/14 12:18:01 AM,C,15.707
05/08/14 12:38:01 AM,C,15.895
