1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 79000000337ECE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:17:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:17:01 CST 2014
Total Mission Samples:  3823
Total Device Samples:  10701
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:17:01 AM,%RH,102.129
04/08/14 04:37:01 AM,%RH,103.083
04/08/14 04:57:01 AM,%RH,102.607
04/08/14 05:17:01 AM,%RH,103.083
04/08/14 05:37:01 AM,%RH,100.685
04/08/14 05:57:01 AM,%RH,101.168
04/08/14 06:17:01 AM,%RH,99.228
04/08/14 06:37:01 AM,%RH,87.607
04/08/14 06:57:01 AM,%RH,79.599
04/08/14 07:17:01 AM,%RH,79.053
04/08/14 07:37:01 AM,%RH,75.746
04/08/14 07:57:01 AM,%RH,72.384
04/08/14 08:17:01 AM,%RH,70.114
04/08/14 08:37:01 AM,%RH,66.662
04/08/14 08:57:01 AM,%RH,61.976
04/08/14 09:17:01 AM,%RH,61.383
04/08/14 09:37:01 AM,%RH,57.193
04/08/14 09:57:01 AM,%RH,61.383
04/08/14 10:17:01 AM,%RH,60.789
04/08/14 10:37:01 AM,%RH,56.589
04/08/14 10:57:01 AM,%RH,58.398
04/08/14 11:17:01 AM,%RH,63.744
04/08/14 11:37:01 AM,%RH,62.567
04/08/14 11:57:01 AM,%RH,60.789
04/08/14 12:17:01 PM,%RH,73.511
04/08/14 12:37:01 PM,%RH,65.5
04/08/14 12:57:01 PM,%RH,58.998
04/08/14 01:17:01 PM,%RH,57.796
04/08/14 01:37:01 PM,%RH,58.998
04/08/14 01:57:01 PM,%RH,58.998
04/08/14 02:17:01 PM,%RH,58.998
04/08/14 02:37:01 PM,%RH,61.976
04/08/14 02:57:01 PM,%RH,59.597
04/08/14 03:17:01 PM,%RH,75.746
04/08/14 03:37:01 PM,%RH,90.201
04/08/14 03:57:01 PM,%RH,97.264
04/08/14 04:17:01 PM,%RH,98.249
04/08/14 04:37:01 PM,%RH,98.249
04/08/14 04:57:01 PM,%RH,100.201
04/08/14 05:17:01 PM,%RH,100.201
04/08/14 05:37:01 PM,%RH,100.685
04/08/14 05:57:01 PM,%RH,99.228
04/08/14 06:17:01 PM,%RH,100.201
04/08/14 06:37:01 PM,%RH,100.685
04/08/14 06:57:01 PM,%RH,102.129
04/08/14 07:17:01 PM,%RH,101.649
04/08/14 07:37:01 PM,%RH,101.649
04/08/14 07:57:01 PM,%RH,101.168
04/08/14 08:17:01 PM,%RH,102.129
04/08/14 08:37:01 PM,%RH,102.129
04/08/14 08:57:01 PM,%RH,102.607
04/08/14 09:17:01 PM,%RH,103.559
04/08/14 09:37:01 PM,%RH,101.649
04/08/14 09:57:01 PM,%RH,102.607
04/08/14 10:17:01 PM,%RH,102.607
04/08/14 10:37:01 PM,%RH,102.607
04/08/14 10:57:01 PM,%RH,102.129
04/08/14 11:17:01 PM,%RH,102.129
04/08/14 11:37:01 PM,%RH,102.607
04/08/14 11:57:01 PM,%RH,102.607
05/08/14 12:17:01 AM,%RH,103.083
05/08/14 12:37:01 AM,%RH,102.607
05/08/14 12:57:01 AM,%RH,102.607
05/08/14 01:17:01 AM,%RH,103.083
05/08/14 01:37:01 AM,%RH,102.607
05/08/14 01:57:01 AM,%RH,102.607
05/08/14 02:17:01 AM,%RH,102.129
05/08/14 02:37:01 AM,%RH,102.607
05/08/14 02:57:01 AM,%RH,102.607
05/08/14 03:17:01 AM,%RH,102.607
05/08/14 03:37:01 AM,%RH,102.607
05/08/14 03:57:01 AM,%RH,103.083
05/08/14 04:17:01 AM,%RH,102.607
05/08/14 04:37:01 AM,%RH,102.129
05/08/14 04:57:01 AM,%RH,102.607
05/08/14 05:17:01 AM,%RH,102.607
05/08/14 05:37:01 AM,%RH,102.129
05/08/14 05:57:01 AM,%RH,103.083
05/08/14 06:17:01 AM,%RH,101.649
05/08/14 06:37:01 AM,%RH,97.757
05/08/14 06:57:01 AM,%RH,86.032
05/08/14 07:17:01 AM,%RH,80.143
05/08/14 07:37:01 AM,%RH,75.189
05/08/14 07:57:01 AM,%RH,73.511
05/08/14 08:17:01 AM,%RH,66.082
05/08/14 08:37:01 AM,%RH,64.331
05/08/14 08:57:01 AM,%RH,58.398
05/08/14 09:17:01 AM,%RH,61.383
05/08/14 09:37:01 AM,%RH,63.156
05/08/14 09:57:01 AM,%RH,58.398
05/08/14 10:17:01 AM,%RH,63.156
05/08/14 10:37:01 AM,%RH,61.976
05/08/14 10:57:01 AM,%RH,60.789
05/08/14 11:17:01 AM,%RH,64.331
05/08/14 11:37:01 AM,%RH,58.998
05/08/14 11:57:01 AM,%RH,57.193
05/08/14 12:17:01 PM,%RH,68.395
05/08/14 12:37:01 PM,%RH,60.194
05/08/14 12:57:01 PM,%RH,54.766
05/08/14 01:17:01 PM,%RH,61.976
05/08/14 01:37:01 PM,%RH,77.406
05/08/14 01:57:01 PM,%RH,80.143
05/08/14 02:17:01 PM,%RH,74.072
05/08/14 02:37:01 PM,%RH,69.542
05/08/14 02:57:01 PM,%RH,64.916
05/08/14 03:17:01 PM,%RH,64.331
05/08/14 03:37:01 PM,%RH,66.082
05/08/14 03:57:01 PM,%RH,77.406
05/08/14 04:17:01 PM,%RH,76.301
05/08/14 04:37:01 PM,%RH,82.842
05/08/14 04:57:01 PM,%RH,84.975
05/08/14 05:17:01 PM,%RH,91.228
05/08/14 05:37:01 PM,%RH,94.273
05/08/14 05:57:01 PM,%RH,96.273
05/08/14 06:17:01 PM,%RH,99.715
05/08/14 06:37:01 PM,%RH,99.228
05/08/14 06:57:01 PM,%RH,96.769
05/08/14 07:17:01 PM,%RH,97.264
05/08/14 07:37:01 PM,%RH,97.757
05/08/14 07:57:01 PM,%RH,95.276
05/08/14 08:17:01 PM,%RH,92.249
05/08/14 08:37:01 PM,%RH,92.757
05/08/14 08:57:01 PM,%RH,95.276
05/08/14 09:17:01 PM,%RH,97.757
05/08/14 09:37:01 PM,%RH,95.276
05/08/14 09:57:01 PM,%RH,91.739
05/08/14 10:17:01 PM,%RH,97.757
05/08/14 10:37:01 PM,%RH,92.249
05/08/14 10:57:01 PM,%RH,83.378
05/08/14 11:17:01 PM,%RH,83.912
05/08/14 11:37:01 PM,%RH,84.444
05/08/14 11:57:01 PM,%RH,90.715
06/08/14 12:17:01 AM,%RH,90.715
06/08/14 12:37:01 AM,%RH,91.739
06/08/14 12:57:01 AM,%RH,90.715
06/08/14 01:17:01 AM,%RH,90.715
06/08/14 01:37:01 AM,%RH,95.775
06/08/14 01:57:01 AM,%RH,97.264
06/08/14 02:17:01 AM,%RH,99.228
06/08/14 02:37:01 AM,%RH,99.715
06/08/14 02:57:01 AM,%RH,97.757
06/08/14 03:17:01 AM,%RH,97.757
06/08/14 03:37:01 AM,%RH,97.757
06/08/14 03:57:01 AM,%RH,97.264
06/08/14 04:17:01 AM,%RH,95.775
06/08/14 04:37:01 AM,%RH,96.273
06/08/14 04:57:01 AM,%RH,96.769
06/08/14 05:17:01 AM,%RH,96.769
06/08/14 05:37:01 AM,%RH,98.739
06/08/14 05:57:01 AM,%RH,98.249
06/08/14 06:17:01 AM,%RH,97.264
06/08/14 06:37:01 AM,%RH,99.228
06/08/14 06:57:01 AM,%RH,99.715
06/08/14 07:17:01 AM,%RH,99.228
06/08/14 07:37:01 AM,%RH,100.685
06/08/14 07:57:01 AM,%RH,100.201
06/08/14 08:17:01 AM,%RH,98.739
06/08/14 08:37:01 AM,%RH,98.739
06/08/14 08:57:01 AM,%RH,96.769
06/08/14 09:17:01 AM,%RH,92.757
06/08/14 09:37:01 AM,%RH,82.306
06/08/14 09:57:01 AM,%RH,87.607
06/08/14 10:17:01 AM,%RH,67.819
06/08/14 10:37:01 AM,%RH,75.746
06/08/14 10:57:01 AM,%RH,65.5
06/08/14 11:17:01 AM,%RH,57.193
06/08/14 11:37:01 AM,%RH,54.766
06/08/14 11:57:01 AM,%RH,64.331
06/08/14 12:17:01 PM,%RH,72.384
06/08/14 12:37:01 PM,%RH,83.912
06/08/14 12:57:01 PM,%RH,85.504
06/08/14 01:17:01 PM,%RH,84.975
06/08/14 01:37:01 PM,%RH,75.746
06/08/14 01:57:01 PM,%RH,76.854
06/08/14 02:17:01 PM,%RH,80.686
06/08/14 02:37:01 PM,%RH,67.819
06/08/14 02:57:01 PM,%RH,72.384
06/08/14 03:17:01 PM,%RH,79.053
06/08/14 03:37:01 PM,%RH,76.301
06/08/14 03:57:01 PM,%RH,77.406
06/08/14 04:17:01 PM,%RH,82.306
06/08/14 04:37:01 PM,%RH,88.128
06/08/14 04:57:01 PM,%RH,92.757
06/08/14 05:17:01 PM,%RH,95.276
06/08/14 05:37:01 PM,%RH,97.264
06/08/14 05:57:01 PM,%RH,98.739
06/08/14 06:17:01 PM,%RH,99.715
06/08/14 06:37:01 PM,%RH,99.715
06/08/14 06:57:01 PM,%RH,100.685
06/08/14 07:17:01 PM,%RH,100.685
