1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 59000000337DCC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:19:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:19:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10714
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:19:01 PM,C,16.987
04/08/14 08:39:01 PM,C,16.987
04/08/14 08:59:01 PM,C,16.987
04/08/14 09:19:01 PM,C,16.737
04/08/14 09:39:01 PM,C,16.674
04/08/14 09:59:01 PM,C,16.674
04/08/14 10:19:01 PM,C,16.423
04/08/14 10:39:01 PM,C,16.549
04/08/14 10:59:01 PM,C,16.173
04/08/14 11:19:01 PM,C,16.235
04/08/14 11:39:01 PM,C,16.799
04/08/14 11:59:01 PM,C,16.674
05/08/14 12:19:01 AM,C,16.298
05/08/14 12:39:01 AM,C,16.298
05/08/14 12:59:01 AM,C,16.235
05/08/14 01:19:01 AM,C,16.047
05/08/14 01:39:01 AM,C,16.298
05/08/14 01:59:01 AM,C,16.298
05/08/14 02:19:01 AM,C,16.298
05/08/14 02:39:01 AM,C,16.549
05/08/14 02:59:01 AM,C,16.298
05/08/14 03:19:01 AM,C,16.298
05/08/14 03:39:01 AM,C,16.298
05/08/14 03:59:01 AM,C,16.235
05/08/14 04:19:01 AM,C,16.173
05/08/14 04:39:01 AM,C,15.985
05/08/14 04:59:01 AM,C,16.11
05/08/14 05:19:01 AM,C,16.173
05/08/14 05:39:01 AM,C,16.298
05/08/14 05:59:01 AM,C,16.674
05/08/14 06:19:01 AM,C,17.3
05/08/14 06:39:01 AM,C,17.739
05/08/14 06:59:01 AM,C,18.553
05/08/14 07:19:01 AM,C,19.43
05/08/14 07:39:01 AM,C,21.12
05/08/14 07:59:01 AM,C,21.808
05/08/14 08:19:01 AM,C,22.434
05/08/14 08:39:01 AM,C,23.122
05/08/14 08:59:01 AM,C,23.998
05/08/14 09:19:01 AM,C,24.56
05/08/14 09:39:01 AM,C,25.936
05/08/14 09:59:01 AM,C,26.435
05/08/14 10:19:01 AM,C,26.061
05/08/14 10:39:01 AM,C,26.748
05/08/14 10:59:01 AM,C,25.311
05/08/14 11:19:01 AM,C,25.998
05/08/14 11:39:01 AM,C,26.56
05/08/14 11:59:01 AM,C,26.935
05/08/14 12:19:01 PM,C,26.56
05/08/14 12:39:01 PM,C,29.808
05/08/14 12:59:01 PM,C,30.245
05/08/14 01:19:01 PM,C,27.81
05/08/14 01:39:01 PM,C,24.685
05/08/14 01:59:01 PM,C,24.498
05/08/14 02:19:01 PM,C,25.186
05/08/14 02:39:01 PM,C,26.998
05/08/14 02:59:01 PM,C,28.684
05/08/14 03:19:01 PM,C,28.434
05/08/14 03:39:01 PM,C,26.748
05/08/14 03:59:01 PM,C,24.935
05/08/14 04:19:01 PM,C,23.122
05/08/14 04:39:01 PM,C,22.059
05/08/14 04:59:01 PM,C,21.12
05/08/14 05:19:01 PM,C,20.181
05/08/14 05:39:01 PM,C,19.43
05/08/14 05:59:01 PM,C,18.616
05/08/14 06:19:01 PM,C,18.177
05/08/14 06:39:01 PM,C,17.927
05/08/14 06:59:01 PM,C,17.676
05/08/14 07:19:01 PM,C,17.551
05/08/14 07:39:01 PM,C,17.488
05/08/14 07:59:01 PM,C,17.113
05/08/14 08:19:01 PM,C,16.862
05/08/14 08:39:01 PM,C,17.3
05/08/14 08:59:01 PM,C,17.363
05/08/14 09:19:01 PM,C,17.05
05/08/14 09:39:01 PM,C,17.113
05/08/14 09:59:01 PM,C,17.113
05/08/14 10:19:01 PM,C,16.611
05/08/14 10:39:01 PM,C,16.611
05/08/14 10:59:01 PM,C,17.363
05/08/14 11:19:01 PM,C,17.927
05/08/14 11:39:01 PM,C,17.864
05/08/14 11:59:01 PM,C,17.3
06/08/14 12:19:01 AM,C,16.737
06/08/14 12:39:01 AM,C,16.737
06/08/14 12:59:01 AM,C,17.05
06/08/14 01:19:01 AM,C,16.925
06/08/14 01:39:01 AM,C,17.175
06/08/14 01:59:01 AM,C,16.987
06/08/14 02:19:01 AM,C,16.925
06/08/14 02:39:01 AM,C,17.05
06/08/14 02:59:01 AM,C,17.05
06/08/14 03:19:01 AM,C,16.862
06/08/14 03:39:01 AM,C,16.925
06/08/14 03:59:01 AM,C,17.238
06/08/14 04:19:01 AM,C,17.551
06/08/14 04:39:01 AM,C,17.551
06/08/14 04:59:01 AM,C,17.426
06/08/14 05:19:01 AM,C,17.488
06/08/14 05:39:01 AM,C,17.488
06/08/14 05:59:01 AM,C,17.614
06/08/14 06:19:01 AM,C,17.676
06/08/14 06:39:01 AM,C,17.614
06/08/14 06:59:01 AM,C,17.802
06/08/14 07:19:01 AM,C,17.614
06/08/14 07:39:01 AM,C,17.802
06/08/14 07:59:01 AM,C,17.864
06/08/14 08:19:01 AM,C,18.491
06/08/14 08:39:01 AM,C,18.866
06/08/14 08:59:01 AM,C,20.244
06/08/14 09:19:01 AM,C,20.995
06/08/14 09:39:01 AM,C,22.809
06/08/14 09:59:01 AM,C,23.372
06/08/14 10:19:01 AM,C,25.811
06/08/14 10:39:01 AM,C,26.373
06/08/14 10:59:01 AM,C,27.248
06/08/14 11:19:01 AM,C,27.872
06/08/14 11:39:01 AM,C,28.497
06/08/14 11:59:01 AM,C,25.623
06/08/14 12:19:01 PM,C,24.06
06/08/14 12:39:01 PM,C,22.684
06/08/14 12:59:01 PM,C,21.996
06/08/14 01:19:01 PM,C,22.121
06/08/14 01:39:01 PM,C,25.998
06/08/14 01:59:01 PM,C,24.685
06/08/14 02:19:01 PM,C,23.81
06/08/14 02:39:01 PM,C,28.122
06/08/14 02:59:01 PM,C,26.061
06/08/14 03:19:01 PM,C,24.685
06/08/14 03:39:01 PM,C,26.748
06/08/14 03:59:01 PM,C,25.06
06/08/14 04:19:01 PM,C,23.685
06/08/14 04:39:01 PM,C,22.121
06/08/14 04:59:01 PM,C,20.932
06/08/14 05:19:01 PM,C,20.682
06/08/14 05:39:01 PM,C,19.806
06/08/14 05:59:01 PM,C,19.054
06/08/14 06:19:01 PM,C,19.367
06/08/14 06:39:01 PM,C,18.992
06/08/14 06:59:01 PM,C,18.929
06/08/14 07:19:01 PM,C,18.616
06/08/14 07:39:01 PM,C,18.365
06/08/14 07:59:01 PM,C,17.802
06/08/14 08:19:01 PM,C,17.488
06/08/14 08:39:01 PM,C,17.113
06/08/14 08:59:01 PM,C,16.925
06/08/14 09:19:01 PM,C,17.05
06/08/14 09:39:01 PM,C,16.987
06/08/14 09:59:01 PM,C,17.05
06/08/14 10:19:01 PM,C,17.05
06/08/14 10:39:01 PM,C,17.175
06/08/14 10:59:01 PM,C,16.862
06/08/14 11:19:01 PM,C,16.925
06/08/14 11:39:01 PM,C,16.925
06/08/14 11:59:01 PM,C,16.987
07/08/14 12:19:01 AM,C,17.238
07/08/14 12:39:01 AM,C,17.05
07/08/14 12:59:01 AM,C,17.113
07/08/14 01:19:01 AM,C,16.799
07/08/14 01:39:01 AM,C,16.298
07/08/14 01:59:01 AM,C,16.11
07/08/14 02:19:01 AM,C,15.922
07/08/14 02:39:01 AM,C,16.235
07/08/14 02:59:01 AM,C,15.985
07/08/14 03:19:01 AM,C,15.859
07/08/14 03:39:01 AM,C,15.734
07/08/14 03:59:01 AM,C,15.985
07/08/14 04:19:01 AM,C,16.298
07/08/14 04:39:01 AM,C,16.235
07/08/14 04:59:01 AM,C,15.985
07/08/14 05:19:01 AM,C,16.11
07/08/14 05:39:01 AM,C,16.799
07/08/14 05:59:01 AM,C,17.113
07/08/14 06:19:01 AM,C,17.802
07/08/14 06:39:01 AM,C,18.115
07/08/14 06:59:01 AM,C,18.866
07/08/14 07:19:01 AM,C,20.494
07/08/14 07:39:01 AM,C,21.057
07/08/14 07:59:01 AM,C,21.934
07/08/14 08:19:01 AM,C,23.185
07/08/14 08:39:01 AM,C,24.31
07/08/14 08:59:01 AM,C,23.935
07/08/14 09:19:01 AM,C,24.248
07/08/14 09:39:01 AM,C,27.747
07/08/14 09:59:01 AM,C,27.123
07/08/14 10:19:01 AM,C,27.997
07/08/14 10:39:01 AM,C,29.121
07/08/14 10:59:01 AM,C,28.996
07/08/14 11:19:01 AM,C,29.184
07/08/14 11:39:01 AM,C,30.557
07/08/14 11:59:01 AM,C,30.432
07/08/14 12:19:01 PM,C,30.682
07/08/14 12:39:01 PM,C,31.68
07/08/14 12:59:01 PM,C,31.368
07/08/14 01:19:01 PM,C,30.994
07/08/14 01:39:01 PM,C,29.059
07/08/14 01:59:01 PM,C,26.873
07/08/14 02:19:01 PM,C,30.245
07/08/14 02:39:01 PM,C,29.184
07/08/14 02:59:01 PM,C,28.185
07/08/14 03:19:01 PM,C,29.121
07/08/14 03:39:01 PM,C,29.121
07/08/14 03:59:01 PM,C,28.247
07/08/14 04:19:01 PM,C,23.685
07/08/14 04:39:01 PM,C,22.684
07/08/14 04:59:01 PM,C,21.996
07/08/14 05:19:01 PM,C,20.745
07/08/14 05:39:01 PM,C,19.743
07/08/14 05:59:01 PM,C,19.179
07/08/14 06:19:01 PM,C,18.992
07/08/14 06:39:01 PM,C,19.68
07/08/14 06:59:01 PM,C,19.806
07/08/14 07:19:01 PM,C,18.992
07/08/14 07:39:01 PM,C,18.24
07/08/14 07:59:01 PM,C,19.117
07/08/14 08:19:01 PM,C,18.804
07/08/14 08:39:01 PM,C,18.428
07/08/14 08:59:01 PM,C,18.365
07/08/14 09:19:01 PM,C,18.177
07/08/14 09:39:01 PM,C,17.927
07/08/14 09:59:01 PM,C,18.365
07/08/14 10:19:01 PM,C,18.365
07/08/14 10:39:01 PM,C,18.177
07/08/14 10:59:01 PM,C,17.99
07/08/14 11:19:01 PM,C,17.927
07/08/14 11:39:01 PM,C,17.676
07/08/14 11:59:01 PM,C,17.551
08/08/14 12:19:01 AM,C,17.363
08/08/14 12:39:01 AM,C,17.676
08/08/14 12:59:01 AM,C,17.927
08/08/14 01:19:01 AM,C,17.175
08/08/14 01:39:01 AM,C,16.611
08/08/14 01:59:01 AM,C,16.423
08/08/14 02:19:01 AM,C,16.361
08/08/14 02:39:01 AM,C,16.361
08/08/14 02:59:01 AM,C,16.298
08/08/14 03:19:01 AM,C,16.674
08/08/14 03:39:01 AM,C,17.175
08/08/14 03:59:01 AM,C,17.3
08/08/14 04:19:01 AM,C,17.175
08/08/14 04:39:01 AM,C,17.488
08/08/14 04:59:01 AM,C,17.05
08/08/14 05:19:01 AM,C,16.799
08/08/14 05:39:01 AM,C,16.862
08/08/14 05:59:01 AM,C,16.862
08/08/14 06:19:01 AM,C,16.799
08/08/14 06:39:01 AM,C,16.799
08/08/14 06:59:01 AM,C,16.862
08/08/14 07:19:01 AM,C,17.05
08/08/14 07:39:01 AM,C,17.238
08/08/14 07:59:01 AM,C,17.614
08/08/14 08:19:01 AM,C,17.864
08/08/14 08:39:01 AM,C,18.491
08/08/14 08:59:01 AM,C,18.929
08/08/14 09:19:01 AM,C,19.054
08/08/14 09:39:01 AM,C,18.491
08/08/14 09:59:01 AM,C,19.367
08/08/14 10:19:01 AM,C,19.743
08/08/14 10:39:01 AM,C,19.618
08/08/14 10:59:01 AM,C,20.056
08/08/14 11:19:01 AM,C,20.244
08/08/14 11:39:01 AM,C,20.369
08/08/14 11:59:01 AM,C,19.993
08/08/14 12:19:01 PM,C,19.806
08/08/14 12:39:01 PM,C,20.119
08/08/14 12:59:01 PM,C,21.37
08/08/14 01:19:01 PM,C,20.619
08/08/14 01:39:01 PM,C,21.057
08/08/14 01:59:01 PM,C,21.308
08/08/14 02:19:01 PM,C,20.87
08/08/14 02:39:01 PM,C,20.557
08/08/14 02:59:01 PM,C,19.806
08/08/14 03:19:01 PM,C,20.056
08/08/14 03:39:01 PM,C,19.68
08/08/14 03:59:01 PM,C,19.305
08/08/14 04:19:01 PM,C,19.117
08/08/14 04:39:01 PM,C,18.992
08/08/14 04:59:01 PM,C,18.992
08/08/14 05:19:01 PM,C,18.992
08/08/14 05:39:01 PM,C,18.741
08/08/14 05:59:01 PM,C,18.741
08/08/14 06:19:01 PM,C,18.616
08/08/14 06:39:01 PM,C,18.553
08/08/14 06:59:01 PM,C,18.491
08/08/14 07:19:01 PM,C,18.303
08/08/14 07:39:01 PM,C,17.99
08/08/14 07:59:01 PM,C,17.927
08/08/14 08:19:01 PM,C,17.99
08/08/14 08:39:01 PM,C,17.488
08/08/14 08:59:01 PM,C,17.113
08/08/14 09:19:01 PM,C,17.3
08/08/14 09:39:01 PM,C,16.799
08/08/14 09:59:01 PM,C,16.737
08/08/14 10:19:01 PM,C,16.737
08/08/14 10:39:01 PM,C,16.11
08/08/14 10:59:01 PM,C,15.985
08/08/14 11:19:01 PM,C,16.173
08/08/14 11:39:01 PM,C,16.047
08/08/14 11:59:01 PM,C,16.11
09/08/14 12:19:01 AM,C,16.11
09/08/14 12:39:01 AM,C,16.298
09/08/14 12:59:01 AM,C,15.922
09/08/14 01:19:01 AM,C,15.922
09/08/14 01:39:01 AM,C,16.11
09/08/14 01:59:01 AM,C,16.173
09/08/14 02:19:01 AM,C,16.235
09/08/14 02:39:01 AM,C,16.235
09/08/14 02:59:01 AM,C,16.11
09/08/14 03:19:01 AM,C,15.922
09/08/14 03:39:01 AM,C,15.859
09/08/14 03:59:01 AM,C,15.859
09/08/14 04:19:01 AM,C,16.11
